Date,Open,Close,Volume
1987-05-20,5.765625,5.703125,3239200
1987-05-21,5.718750,5.703125,2871200
1987-05-22,5.718750,5.875000,2096800
1987-05-26,5.906250,5.937500,1922400
1987-05-27,5.937500,6.000000,1700800
1987-05-28,5.968750,5.828125,1804000
1987-05-29,5.859375,5.687500,3140000
1987-06-01,5.750000,5.703125,2156800
1987-06-02,5.718750,5.718750,2347200
1987-06-03,5.781250,5.750000,2144000
1987-06-04,5.765625,5.843750,1492000
1987-06-05,5.859375,5.750000,1952800
1987-06-08,5.796875,5.843750,1102400
1987-06-09,5.921875,5.906250,2455200
1987-06-10,5.906250,5.984375,2664000
1987-06-11,6.031250,6.203125,3902400
1987-06-12,6.218750,6.171875,3187200
1987-06-15,6.187500,6.187500,1624000
1987-06-16,6.156250,6.203125,1866400
1987-06-17,6.140625,6.156250,1921600
1987-06-18,6.093750,6.140625,1317600
1987-06-19,6.171875,6.203125,2976000
1987-06-22,6.171875,6.171875,1814400
1987-06-23,6.203125,6.156250,2129600
1987-06-24,6.125000,6.125000,2056000
1987-06-25,6.125000,6.109375,2718400
1987-06-26,6.093750,6.156250,1706400
1987-06-29,6.234375,6.328125,4058400
1987-06-30,6.343750,6.531250,9680000
1987-07-01,6.531250,6.625000,6773600
1987-07-02,6.625000,6.593750,4163200
1987-07-06,6.625000,6.687500,4954400
1987-07-07,6.703125,6.750000,4693600
1987-07-08,6.687500,6.718750,2329600
1987-07-09,6.703125,6.687500,2638400
1987-07-10,6.687500,6.765625,1626400
1987-07-13,6.781250,6.718750,2852800
1987-07-14,6.734375,6.812500,2281600
1987-07-15,6.750000,6.703125,4962400
1987-07-16,6.718750,6.656250,2624800
1987-07-17,6.656250,6.843750,6967200
1987-07-20,6.859375,6.765625,2364800
1987-07-21,6.765625,6.625000,3456800
1987-07-22,6.609375,6.671875,1902400
1987-07-23,6.671875,6.796875,4360000
1987-07-24,6.765625,6.828125,1445600
1987-07-27,6.859375,6.875000,2896800
1987-07-28,6.984375,6.984375,5393600
1987-07-29,6.968750,6.968750,2388800
1987-07-30,7.000000,7.203125,4396000
1987-07-31,7.187500,7.218750,7578400
1987-08-03,7.109375,7.125000,3919200
1987-08-04,7.062500,7.125000,3761600
1987-08-05,7.093750,7.171875,4316800
1987-08-06,7.156250,7.156250,2993600
1987-08-07,7.187500,7.109375,2946400
1987-08-10,7.125000,7.234375,3213600
1987-08-11,7.218750,7.250000,5428000
1987-08-12,7.187500,7.234375,2835200
1987-08-13,7.234375,7.265625,5087200
1987-08-14,7.265625,7.531250,7732000
1987-08-17,7.406250,7.406250,8080000
1987-08-18,7.312500,7.093750,5283200
1987-08-19,7.156250,7.187500,3779200
1987-08-20,7.281250,7.265625,7835200
1987-08-21,7.265625,7.265625,3369600
1987-08-24,7.250000,7.156250,2418400
1987-08-25,7.218750,7.265625,4426400
1987-08-26,7.250000,7.171875,3949600
1987-08-27,7.171875,7.171875,2807200
1987-08-28,7.187500,7.156250,2207200
1987-08-31,7.140625,7.203125,1384800
1987-09-01,7.218750,7.140625,2354400
1987-09-02,7.093750,7.000000,4128800
1987-09-03,7.062500,6.921875,3282400
1987-09-04,6.906250,6.796875,1349600
1987-09-08,6.734375,6.750000,3235200
1987-09-09,6.750000,6.843750,3869600
1987-09-10,6.906250,6.875000,2066400
1987-09-11,6.890625,6.968750,1677600
1987-09-14,7.031250,7.031250,1669600
1987-09-15,7.000000,6.843750,2278400
1987-09-16,6.828125,6.765625,2024000
1987-09-17,6.812500,6.718750,1916000
1987-09-18,6.718750,6.750000,2405600
1987-09-21,6.750000,6.796875,1808000
1987-09-22,6.875000,6.906250,3398400
1987-09-23,6.953125,7.078125,3435200
1987-09-24,7.046875,7.015625,2175200
1987-09-25,7.046875,7.062500,1061600
1987-09-28,7.156250,7.343750,5037600
1987-09-29,7.343750,7.250000,2536000
1987-09-30,7.156250,7.250000,3492800
1987-10-01,7.218750,7.218750,2088800
1987-10-02,7.218750,7.218750,3020000
1987-10-05,7.187500,7.187500,1685600
1987-10-06,7.156250,7.000000,2236800
1987-10-07,7.046875,6.890625,3629600
1987-10-08,6.890625,6.812500,2393600
1987-10-09,6.781250,6.625000,1878400
1987-10-12,6.656250,6.640625,2562400
1987-10-13,6.687500,6.765625,3602400
1987-10-14,6.703125,6.656250,2444000
1987-10-15,6.500000,6.546875,6851200
1987-10-16,6.531250,6.078125,5515200
1987-10-19,5.812500,5.125000,8122400
1987-10-20,5.031250,5.000000,7726400
1987-10-21,5.250000,4.875000,14245600
1987-10-22,4.375000,4.609375,8109600
1987-10-23,4.468750,4.578125,6312800
1987-10-26,4.468750,4.187500,5199200
1987-10-27,4.281250,4.265625,5292000
1987-10-28,4.218750,4.390625,5234400
1987-10-29,4.406250,4.390625,6468000
1987-10-30,4.468750,4.406250,9360000
1987-11-02,4.375000,4.531250,3637600
1987-11-03,4.515625,4.484375,3954400
1987-11-04,4.421875,4.578125,3016000
1987-11-05,4.437500,4.515625,5609600
1987-11-06,4.515625,4.375000,5384800
1987-11-09,4.312500,4.234375,4414400
1987-11-10,4.187500,4.328125,5031200
1987-11-11,4.359375,4.375000,2996000
1987-11-12,4.500000,4.453125,5017600
1987-11-13,4.406250,4.250000,3600000
1987-11-16,4.203125,4.281250,2648000
1987-11-17,4.187500,4.046875,4843200
1987-11-18,4.062500,4.046875,4562400
1987-11-19,4.046875,3.953125,4274400
1987-11-20,3.875000,3.843750,5116800
1987-11-23,3.859375,3.890625,5863200
1987-11-24,4.093750,4.281250,13392000
1987-11-25,4.281250,4.343750,8600800
1987-11-27,4.359375,4.265625,1315200
1987-11-30,4.140625,3.953125,4475200
1987-12-01,4.000000,3.921875,2792000
1987-12-02,3.937500,3.953125,3583200
1987-12-03,3.984375,3.890625,3945600
1987-12-04,3.890625,3.765625,3595200
1987-12-07,3.843750,3.828125,2359200
1987-12-08,3.859375,4.093750,3162400
1987-12-09,4.093750,4.062500,3626400
1987-12-10,4.031250,3.906250,3673600
1987-12-11,3.906250,3.953125,2896000
1987-12-14,3.921875,4.109375,3039200
1987-12-15,4.109375,4.187500,4894400
1987-12-16,4.203125,4.281250,3898400
1987-12-17,4.234375,4.218750,3625600
1987-12-18,4.281250,4.343750,5021600
1987-12-21,4.312500,4.328125,4291200
1987-12-22,4.296875,4.328125,2580000
1987-12-23,4.343750,4.296875,3357600
1987-12-24,4.312500,4.218750,1403200
1987-12-28,4.062500,4.125000,2574400
1987-12-29,4.109375,4.093750,2015200
1987-12-30,4.125000,4.078125,4842400
1987-12-31,4.078125,4.234375,3912000
1988-01-04,4.265625,4.359375,2890400
1988-01-05,4.468750,4.453125,3494400
1988-01-06,4.500000,4.546875,3651200
1988-01-07,4.500000,4.531250,2507200
1988-01-08,4.531250,4.437500,3372000
1988-01-11,4.328125,4.296875,2170400
1988-01-12,4.296875,4.250000,3144800
1988-01-13,4.203125,4.328125,2512800
1988-01-14,4.390625,4.359375,1883200
1988-01-15,4.500000,4.500000,4527200
1988-01-18,4.484375,4.453125,2138400
1988-01-19,4.421875,4.421875,1605600
1988-01-20,4.453125,4.312500,3388800
1988-01-21,4.359375,4.359375,3297600
1988-01-22,4.390625,4.578125,5729600
1988-01-25,4.562500,4.625000,4564800
1988-01-26,4.640625,4.671875,3355200
1988-01-27,4.640625,4.718750,3416000
1988-01-28,4.750000,4.734375,2588000
1988-01-29,4.718750,4.796875,2807200
1988-02-01,4.828125,4.828125,2540000
1988-02-02,4.843750,4.812500,1888000
1988-02-03,4.765625,4.687500,4244000
1988-02-04,4.687500,4.640625,4187200
1988-02-05,4.640625,4.671875,1362400
1988-02-08,4.500000,4.546875,4374400
1988-02-09,4.593750,4.546875,2923200
1988-02-10,4.562500,4.625000,4095200
1988-02-11,4.640625,4.625000,2222400
1988-02-12,4.593750,4.671875,3529600
1988-02-16,4.703125,4.703125,1600000
1988-02-17,4.703125,4.781250,3458400
1988-02-18,4.750000,4.750000,3447200
1988-02-19,4.750000,4.843750,2716800
1988-02-22,4.796875,5.031250,4624000
1988-02-23,4.984375,4.953125,3479200
1988-02-24,5.000000,5.078125,3985600
1988-02-25,5.093750,5.046875,4590400
1988-02-26,5.015625,5.031250,2426400
1988-02-29,5.031250,5.093750,2332800
1988-03-01,5.109375,5.046875,2077600
1988-03-02,5.062500,5.031250,2042400
1988-03-03,5.062500,4.937500,2152000
1988-03-04,4.890625,4.875000,2857600
1988-03-07,4.906250,4.906250,1671200
1988-03-08,4.953125,5.000000,2333600
1988-03-09,5.000000,4.953125,2914400
1988-03-10,4.953125,4.859375,2987200
1988-03-11,4.828125,4.984375,2873600
1988-03-14,4.953125,5.093750,2700000
1988-03-15,5.125000,5.093750,2971200
1988-03-16,5.109375,5.250000,3023200
1988-03-17,5.218750,5.265625,3338400
1988-03-18,5.296875,5.281250,4055200
1988-03-21,5.296875,5.218750,1978400
1988-03-22,5.203125,5.234375,1825600
1988-03-23,5.218750,5.281250,5096000
1988-03-24,5.203125,5.078125,3201600
1988-03-25,5.078125,5.000000,3636800
1988-03-28,4.953125,5.000000,1713600
1988-03-29,5.015625,5.015625,2228000
1988-03-30,5.062500,4.937500,1816800
1988-03-31,4.906250,4.875000,2347200
1988-04-04,4.875000,4.796875,2042400
1988-04-05,4.765625,4.812500,3168800
1988-04-06,4.859375,4.921875,5230400
1988-04-07,4.953125,5.062500,2327200
1988-04-08,5.000000,5.140625,4028000
1988-04-11,5.140625,5.109375,1648800
1988-04-12,5.078125,5.109375,2350400
1988-04-13,5.125000,5.187500,1704800
1988-04-14,5.093750,4.984375,3526400
1988-04-15,5.000000,4.890625,5006400
1988-04-18,4.812500,4.890625,3408000
1988-04-19,4.843750,4.843750,3940000
1988-04-20,4.828125,4.765625,2950400
1988-04-21,4.796875,4.796875,2400000
1988-04-22,4.812500,4.859375,1381600
1988-04-25,4.921875,4.906250,1744000
1988-04-26,4.921875,4.953125,2604000
1988-04-27,4.953125,5.015625,2855200
1988-04-28,4.984375,4.921875,1717600
1988-04-29,4.937500,4.859375,2114400
1988-05-02,4.859375,4.921875,1561600
1988-05-03,4.921875,4.968750,1393600
1988-05-04,4.953125,4.906250,1750400
1988-05-05,4.875000,4.781250,2825600
1988-05-06,4.765625,4.781250,2379200
1988-05-09,4.796875,4.796875,1796800
1988-05-10,4.781250,4.812500,2514400
1988-05-11,4.656250,4.656250,3959200
1988-05-12,4.687500,4.687500,1416800
1988-05-13,4.656250,4.796875,1528000
1988-05-16,4.734375,4.703125,1567200
1988-05-17,4.734375,4.593750,1701600
1988-05-18,4.593750,4.500000,2469600
1988-05-19,4.453125,4.546875,1978400
1988-05-20,4.531250,4.656250,1931200
1988-05-23,4.640625,4.671875,1825600
1988-05-24,4.656250,4.765625,2972000
1988-05-25,4.812500,4.578125,8273600
1988-05-26,4.562500,4.578125,4133600
1988-05-27,4.546875,4.500000,2492000
1988-05-31,4.500000,4.687500,2871200
1988-06-01,4.718750,4.750000,2195200
1988-06-02,4.656250,4.750000,3504000
1988-06-03,4.734375,4.843750,1263200
1988-06-06,4.812500,4.750000,1669600
1988-06-07,4.703125,4.781250,2947200
1988-06-08,4.796875,4.843750,3804000
1988-06-09,4.843750,4.984375,3128800
1988-06-10,4.968750,4.859375,2392800
1988-06-13,4.875000,4.843750,962400
1988-06-14,4.921875,4.984375,5441600
1988-06-15,4.953125,4.968750,1735200
1988-06-16,4.968750,4.859375,2447200
1988-06-17,4.890625,4.890625,3671200
1988-06-20,4.843750,4.796875,2792000
1988-06-21,4.859375,4.906250,1871200
1988-06-22,4.984375,4.968750,2050400
1988-06-23,4.968750,4.921875,4195200
1988-06-24,4.937500,4.843750,2176800
1988-06-27,4.875000,4.796875,1824000
1988-06-28,4.796875,4.812500,2444800
1988-06-29,4.828125,4.781250,1616800
1988-06-30,4.796875,4.812500,2394400
1988-07-01,4.796875,4.828125,1474400
1988-07-05,4.796875,4.796875,1305600
1988-07-06,4.812500,4.812500,2508000
1988-07-07,4.796875,4.765625,2876000
1988-07-08,4.750000,4.703125,1142400
1988-07-11,4.703125,4.656250,2677600
1988-07-12,4.640625,4.609375,1785600
1988-07-13,4.625000,4.640625,2064000
1988-07-14,4.625000,4.765625,2404800
1988-07-15,4.765625,4.687500,2656000
1988-07-18,4.671875,4.765625,3994400
1988-07-19,4.812500,4.671875,1724000
1988-07-20,4.703125,4.687500,1880000
1988-07-21,4.671875,4.625000,1381600
1988-07-22,4.625000,4.562500,1906400
1988-07-25,4.562500,4.593750,2059200
1988-07-26,4.578125,4.625000,1884000
1988-07-27,4.625000,4.593750,1441600
1988-07-28,4.593750,4.625000,2404000
1988-07-29,4.625000,4.687500,2847200
1988-08-01,4.718750,4.671875,1005600
1988-08-02,4.656250,4.765625,2505600
1988-08-03,4.765625,4.750000,2087200
1988-08-04,4.750000,4.703125,1344800
1988-08-05,4.687500,4.781250,1365600
1988-08-08,4.765625,4.703125,1864800
1988-08-09,4.687500,4.609375,1052800
1988-08-10,4.578125,4.562500,2672800
1988-08-11,4.531250,4.515625,1453600
1988-08-12,4.500000,4.546875,2009600
1988-08-15,4.531250,4.546875,786400
1988-08-16,4.515625,4.531250,1645600
1988-08-17,4.546875,4.531250,1537600
1988-08-18,4.500000,4.500000,1305600
1988-08-19,4.500000,4.468750,1449600
1988-08-22,4.406250,4.390625,1351200
1988-08-23,4.390625,4.375000,2071200
1988-08-24,4.375000,4.421875,1187200
1988-08-25,4.390625,4.406250,1496800
1988-08-26,4.390625,4.421875,2300000
1988-08-29,4.437500,4.546875,1516800
1988-08-30,4.546875,4.578125,1064000
1988-08-31,4.593750,4.593750,988000
1988-09-01,4.562500,4.531250,3510400
1988-09-02,4.593750,4.593750,1270400
1988-09-06,4.546875,4.578125,1241600
1988-09-07,4.578125,4.562500,1562400
1988-09-08,4.562500,4.468750,1792800
1988-09-09,4.484375,4.562500,2425600
1988-09-12,4.562500,4.640625,2209600
1988-09-13,4.625000,4.718750,3728000
1988-09-14,4.765625,4.734375,1760800
1988-09-15,4.734375,4.687500,1847200
1988-09-16,4.640625,4.796875,3652800
1988-09-19,4.734375,4.734375,3233600
1988-09-20,4.734375,4.796875,944000
1988-09-21,4.812500,4.796875,807200
1988-09-22,4.796875,4.906250,2157600
1988-09-23,4.890625,4.859375,2806400
1988-09-26,4.859375,4.921875,2796800
1988-09-27,4.937500,4.953125,1704000
1988-09-28,4.937500,4.953125,1728000
1988-09-29,4.953125,5.015625,1557600
1988-09-30,5.031250,4.984375,1973600
1988-10-03,5.000000,5.000000,1988800
1988-10-04,5.000000,5.125000,4561600
1988-10-05,5.109375,5.156250,3277600
1988-10-06,5.187500,5.171875,3607200
1988-10-07,5.156250,5.234375,3512800
1988-10-10,5.234375,5.234375,2276800
1988-10-11,5.187500,5.187500,1920800
1988-10-12,5.156250,5.046875,3389600
1988-10-13,5.015625,5.093750,1852800
1988-10-14,5.109375,5.109375,2272000
1988-10-17,5.078125,5.187500,2036800
1988-10-18,5.218750,5.218750,2925600
1988-10-19,5.234375,5.187500,1816800
1988-10-20,5.156250,5.281250,2067200
1988-10-21,5.250000,5.265625,2957600
1988-10-24,5.265625,5.281250,1547200
1988-10-25,5.296875,5.281250,1567200
1988-10-26,5.312500,5.265625,5449600
1988-10-27,5.250000,5.140625,1965600
1988-10-28,5.140625,5.187500,1772000
1988-10-31,5.187500,5.203125,1548000
1988-11-01,5.218750,5.203125,1224000
1988-11-02,5.265625,5.234375,2032800
1988-11-03,5.218750,5.156250,2048000
1988-11-04,5.140625,5.125000,1434400
1988-11-07,5.109375,5.109375,1742400
1988-11-08,5.109375,5.078125,1973600
1988-11-09,5.046875,5.046875,1592800
1988-11-10,5.000000,4.984375,1308800
1988-11-11,4.984375,4.890625,1982400
1988-11-14,4.828125,4.812500,2436800
1988-11-15,4.796875,4.859375,1580000
1988-11-16,4.906250,4.796875,2830400
1988-11-17,4.796875,4.828125,1063200
1988-11-18,4.843750,4.921875,1622400
1988-11-21,4.890625,4.875000,996000
1988-11-22,4.890625,4.968750,1192800
1988-11-23,4.937500,4.984375,1172000
1988-11-25,4.937500,4.906250,678400
1988-11-28,4.937500,4.953125,1149600
1988-11-29,4.937500,5.015625,1232800
1988-11-30,5.031250,5.015625,3188800
1988-12-01,5.000000,4.984375,1719200
1988-12-02,4.937500,4.953125,3028000
1988-12-05,4.953125,5.000000,2945600
1988-12-06,5.062500,5.078125,2126400
1988-12-07,5.031250,5.078125,1424800
1988-12-08,5.062500,4.984375,1448000
1988-12-09,4.984375,5.000000,1226400
