Date,Open,Close,Volume
1987-05-20,2.195313,2.171875,2432000
1987-05-21,2.187500,2.171875,880000
1987-05-22,2.187500,2.171875,1017600
1987-05-26,2.171875,2.210938,4235200
1987-05-27,2.218750,2.226563,1259200
1987-05-28,2.234375,2.257813,974400
1987-05-29,2.273438,2.296875,1132800
1987-06-01,2.296875,2.289063,705600
1987-06-02,2.281250,2.289063,1019200
1987-06-03,2.273438,2.328125,2116800
1987-06-04,2.328125,2.359375,852800
1987-06-05,2.359375,2.328125,1057600
1987-06-08,2.312500,2.343750,1308800
1987-06-09,2.351563,2.335938,1046400
1987-06-10,2.351563,2.367188,4776000
1987-06-11,2.382813,2.390625,2308800
1987-06-12,2.406250,2.406250,2708800
1987-06-15,2.421875,2.414063,1844800
1987-06-16,2.414063,2.421875,1496000
1987-06-17,2.421875,2.437500,1160000
1987-06-18,2.437500,2.507813,2883200
1987-06-19,2.562500,2.546875,3243200
1987-06-22,2.546875,2.593750,2073600
1987-06-23,2.593750,2.531250,2448000
1987-06-24,2.531250,2.500000,1008000
1987-06-25,2.507813,2.531250,1361600
1987-06-26,2.523438,2.593750,4979200
1987-06-29,2.570313,2.625000,2323200
1987-06-30,2.625000,2.578125,2811200
1987-07-01,2.585938,2.585938,2296000
1987-07-02,2.601563,2.609375,4280000
1987-07-06,2.625000,2.609375,1345600
1987-07-07,2.609375,2.617188,1008000
1987-07-08,2.625000,2.617188,2600000
1987-07-09,2.609375,2.578125,515200
1987-07-10,2.585938,2.562500,1900800
1987-07-13,2.562500,2.570313,1089600
1987-07-14,2.570313,2.570313,1507200
1987-07-15,2.554688,2.593750,2500800
1987-07-16,2.609375,2.570313,1008000
1987-07-17,2.578125,2.578125,1283200
1987-07-20,2.546875,2.570313,1152000
1987-07-21,2.570313,2.570313,1414400
1987-07-22,2.578125,2.570313,475200
1987-07-23,2.562500,2.515625,776000
1987-07-24,2.531250,2.554688,2350400
1987-07-27,2.562500,2.570313,1062400
1987-07-28,2.585938,2.593750,646400
1987-07-29,2.609375,2.609375,3710400
1987-07-30,2.625000,2.632813,1574400
1987-07-31,2.625000,2.632813,662400
1987-08-03,2.632813,2.656250,1664000
1987-08-04,2.671875,2.601563,748800
1987-08-05,2.617188,2.671875,1435200
1987-08-06,2.671875,2.687500,656000
1987-08-07,2.679688,2.687500,902400
1987-08-10,2.687500,2.750000,1200000
1987-08-11,2.757813,2.796875,1739200
1987-08-12,2.781250,2.726563,3680000
1987-08-13,2.750000,2.734375,1235200
1987-08-14,2.742188,2.765625,2147200
1987-08-17,2.750000,2.750000,1118400
1987-08-18,2.750000,2.656250,1913600
1987-08-19,2.656250,2.640625,1393600
1987-08-20,2.648438,2.734375,1441600
1987-08-21,2.750000,2.757813,1510400
1987-08-24,2.742188,2.671875,984000
1987-08-25,2.687500,2.742188,1153600
1987-08-26,2.742188,2.734375,2571200
1987-08-27,2.742188,2.734375,609600
1987-08-28,2.742188,2.593750,2049600
1987-08-31,2.601563,2.601563,1347200
1987-09-01,2.625000,2.585938,1822400
1987-09-02,2.593750,2.531250,1817600
1987-09-03,2.546875,2.554688,926400
1987-09-04,2.554688,2.484375,873600
1987-09-08,2.468750,2.437500,1979200
1987-09-09,2.429688,2.453125,1358400
1987-09-10,2.468750,2.500000,1254400
1987-09-11,2.500000,2.609375,1614400
1987-09-14,2.617188,2.656250,1582400
1987-09-15,2.648438,2.625000,1668800
1987-09-16,2.625000,2.570313,1134400
1987-09-17,2.578125,2.515625,923200
1987-09-18,2.531250,2.500000,1009600
1987-09-21,2.515625,2.429688,1289600
1987-09-22,2.429688,2.500000,1827200
1987-09-23,2.500000,2.523438,1401600
1987-09-24,2.531250,2.523438,796800
1987-09-25,2.539063,2.492188,993600
1987-09-28,2.500000,2.578125,1740800
1987-09-29,2.570313,2.515625,1668800
1987-09-30,2.515625,2.492188,2612800
1987-10-01,2.492188,2.500000,1334400
1987-10-02,2.507813,2.500000,998400
1987-10-05,2.500000,2.500000,924800
1987-10-06,2.500000,2.421875,1118400
1987-10-07,2.414063,2.421875,1299200
1987-10-08,2.429688,2.375000,3921600
1987-10-09,2.375000,2.382813,1500800
1987-10-12,2.390625,2.367188,648000
1987-10-13,2.375000,2.421875,683200
1987-10-14,2.406250,2.242188,8307200
1987-10-15,2.234375,2.171875,8193600
1987-10-16,2.171875,1.984375,4864000
1987-10-19,1.984375,1.726563,9716800
1987-10-20,1.718750,1.687500,9100800
1987-10-21,1.859375,1.859375,5139200
1987-10-22,1.843750,1.812500,5244800
1987-10-23,1.742188,1.765625,1571200
1987-10-26,1.562500,1.671875,3659200
1987-10-27,1.718750,1.664063,1830400
