Date,Volume,Volume
1988-03-22,1825600,13660000
1988-03-23,5096000,18930000
1988-03-24,3201600,26540000
1988-03-25,3636800,18590000
1988-03-28,1713600,18240000
1988-03-29,2228000,19940000
1988-03-30,1816800,21470000
1988-03-31,2347200,18280000
1988-04-04,2042400,17250000
1988-04-05,3168800,16940000
1988-04-06,5230400,28270000
1988-04-07,2327200,22550000
1988-04-08,4028000,19890000
1988-04-11,1648800,16800000
1988-04-12,2350400,20050000
1988-04-13,1704800,20010000
1988-04-14,3526400,30090000
1988-04-15,5006400,33860000
1988-04-18,3408000,15940000
1988-04-19,3940000,21110000
1988-04-20,2950400,20000000
1988-04-21,2400000,26460000
1988-04-22,1381600,16580000
1988-04-25,1744000,16270000
1988-04-26,2604000,20310000
1988-04-27,2855200,17170000
1988-04-28,1717600,16980000
1988-04-29,2114400,17060000
1988-05-02,1561600,15660000
1988-05-03,1393600,16640000
1988-05-04,1750400,18470000
1988-05-05,2825600,44620000
1988-05-06,2379200,16300000
1988-05-09,1796800,12520000
1988-05-10,2514400,16250000
1988-05-11,3959200,18980000
1988-05-12,1416800,13130000
1988-05-13,1528000,14160000
1988-05-16,1567200,12440000
1988-05-17,1701600,18190000
1988-05-18,2469600,18810000
1988-05-19,1978400,22670000
1988-05-20,1931200,18620000
1988-05-23,1825600,14620000
1988-05-24,2972000,12820000
1988-05-25,8273600,15420000
1988-05-26,4133600,53350000
1988-05-27,2492000,10380000
1988-05-31,2871200,21160000
1988-06-01,2195200,34980000
1988-06-02,3504000,23410000
1988-06-03,1263200,19640000
1988-06-06,1669600,15480000
1988-06-07,2947200,20310000
1988-06-08,3804000,28680000
1988-06-09,3128800,24700000
1988-06-10,2392800,19550000
1988-06-13,962400,12490000
1988-06-14,5441600,40430000
1988-06-15,1735200,16740000
1988-06-16,2447200,18880000
1988-06-17,3671200,36950000
1988-06-20,2792000,13410000
1988-06-21,1871200,20460000
1988-06-22,2050400,28940000
1988-06-23,4195200,21580000
1988-06-24,2176800,17590000
1988-06-27,1824000,15690000
1988-06-28,2444800,15660000
1988-06-29,1616800,16100000
1988-06-30,2394400,24430000
1988-07-01,1474400,14340000
1988-07-05,1305600,16870000
1988-07-06,2508000,21230000
1988-07-07,2876000,17000000
1988-07-08,1142400,12630000
1988-07-11,2677600,10280000
1988-07-12,1785600,18610000
1988-07-13,2064000,18250000
1988-07-14,2404800,14930000
1988-07-15,2656000,22040000
1988-07-18,3994400,17140000
1988-07-19,1724000,15420000
1988-07-20,1880000,12290000
1988-07-21,1381600,13200000
1988-07-22,1906400,15700000
1988-07-25,2059200,10670000
1988-07-26,1884000,12570000
1988-07-27,1441600,14970000
1988-07-28,2404000,15630000
1988-07-29,2847200,25140000
1988-08-01,1005600,14450000
1988-08-02,2505600,20610000
1988-08-03,2087200,18270000
1988-08-04,1344800,20280000
1988-08-05,1365600,12880000
1988-08-08,1864800,12410000
1988-08-09,1052800,19580000
1988-08-10,2672800,22390000
1988-08-11,1453600,27400000
1988-08-12,2009600,13430000
1988-08-15,786400,15450000
1988-08-16,1645600,20440000
1988-08-17,1537600,16820000
1988-08-18,1305600,14070000
1988-08-19,1449600,16280000
1988-08-22,1351200,13640000
1988-08-23,2071200,14530000
1988-08-24,1187200,14480000
1988-08-25,1496800,14630000
1988-08-26,2300000,10930000
1988-08-29,1516800,11390000
1988-08-30,1064000,11040000
1988-08-31,988000,11990000
1988-09-01,3510400,16540000
1988-09-02,1270400,17210000
1988-09-06,1241600,12870000
1988-09-07,1562400,14400000
1988-09-08,1792800,13250000
1988-09-09,2425600,16890000
1988-09-12,2209600,15130000
1988-09-13,3728000,14080000
1988-09-14,1760800,21440000
1988-09-15,1847200,15250000
1988-09-16,3652800,29580000
1988-09-19,3233600,15350000
1988-09-20,944000,13200000
1988-09-21,807200,12970000
1988-09-22,2157600,14370000
1988-09-23,2806400,17090000
1988-09-26,2796800,9030000
1988-09-27,1704000,11410000
1988-09-28,1728000,11930000
1988-09-29,1557600,19200000
1988-09-30,1973600,20120000
1988-10-03,1988800,14490000
