Date,WBA,UNH,TRV,VZ,WMT,PG,UTX,DOW
1996-08-07,2456800,11690400,324200,1244900,5104400,2246000,3236000,31840000
1996-08-08,700000,18700000,299600,1062700,2823800,9272400,1602400,26890000
1996-08-09,774800,10524800,169400,944600,8478200,5332400,2144000,22460000
1996-08-12,1343600,5596000,383200,1336200,6019200,4475200,1560800,45180000
1996-08-13,859600,7092000,407600,869800,17276000,3047200,1041600,37320000
1996-08-14,1382800,9372000,209000,752600,11988200,2626000,1393600,27900000
1996-08-15,690800,7120800,233400,1473200,17804800,2046000,1737600,24030000
1996-08-16,598400,7407200,299000,1959400,18803200,3854000,2660800,28460000
1996-08-19,534400,4779200,151600,1277100,7967400,2619200,1620000,24620000
1996-08-20,552400,5800000,354000,1060200,7842600,1802800,1861600,24530000
1996-08-21,976000,6341600,178400,1024200,4425200,3039200,2300000,26720000
1996-08-22,1125600,6286400,324600,700400,6023800,2558800,1687200,34760000
1996-08-23,850400,6284000,400400,802400,3947600,3855200,2004000,25410000
1996-08-26,579600,3828800,186800,1705600,4029200,2311600,724800,23080000
1996-08-27,776800,7619200,634800,1748200,4391200,2984000,1205600,20030000
1996-08-28,1122000,5947200,162800,1178100,3320800,2606800,1492000,23090000
1996-08-29,882000,5450400,175200,1707000,4122200,2768000,1388800,26800000
1996-08-30,997200,8835200,346800,1264100,4588000,2842400,1205600,22080000
1996-09-03,1362000,6464000,335600,1684700,4044400,2842800,1131200,29820000
1996-09-04,1730400,13727200,431200,1339100,4120600,1944000,1688800,27340000
1996-09-05,1266400,13128000,222800,1402700,3249400,2340400,856800,22650000
1996-09-06,1086400,17397600,231200,1448200,4901200,2048400,1460800,28220000
1996-09-09,1702800,5265600,186800,1640900,3384200,4469600,1555200,24910000
1996-09-10,1622000,4294400,525200,1749700,3400400,2795600,1305600,32860000
1996-09-11,1694400,13612000,138200,1655900,3384400,2503600,2467200,28420000
1996-09-12,1910800,14734400,690400,1673900,8171200,5115200,3525600,29020000
1996-09-13,1939200,16033600,310600,1691100,11582200,3343200,2470400,36360000
1996-09-16,1499200,16129600,342400,1193600,5970800,3612800,3594400,33160000
1996-09-17,1003600,8038400,334400,872400,4053200,2780400,2568000,38180000
1996-09-18,1321200,5683200,285600,612900,4971000,2866400,1085600,34200000
1996-09-19,971200,6699200,316400,920300,4025800,4158800,1369600,31640000
1996-09-20,1766800,6060800,622000,2402200,11667000,7072400,3160000,49820000
1996-09-23,1288400,4624000,399600,1211600,3217200,2999600,1186400,23310000
1996-09-24,1514000,5946400,383600,2429900,6814200,6752000,2365600,48210000
1996-09-25,2463600,6052800,234400,2805900,5957400,5498000,2605600,37190000
1996-09-26,1577600,7343200,258800,2434600,5425800,4069200,2726400,36770000
1996-09-27,1566400,6489600,473000,1221700,3731400,2721200,2447200,29400000
1996-09-30,1801200,5727200,141800,2142200,5820200,3476400,2306400,27840000
1996-10-01,1745600,8313600,725400,1649700,3239000,3070800,2079200,34710000
1996-10-02,2128000,6798400,368000,1920200,6186200,4117600,1620000,34610000
1996-10-03,1616800,6030400,364000,1805000,4375000,3107600,1978400,28640000
1996-10-04,1095600,8212800,186000,3925700,5348000,4372400,2656800,39940000
1996-10-07,1543600,7222400,176800,1674700,4909200,3083600,1756000,26820000
1996-10-08,892000,7460800,451200,1253900,6264800,3437600,2863200,41980000
1996-10-09,1162400,7480800,187800,1426500,4470000,3946400,2268800,35770000
1996-10-10,1041200,7228000,111800,1818700,5348000,3967600,1099200,26740000
1996-10-11,1024400,9282400,70400,2761500,5504400,4528000,1721600,23690000
1996-10-14,834800,8822400,179200,1815400,5325600,3186400,1773600,27420000
1996-10-15,1339200,10139200,205600,1878900,5049600,4901600,2299200,37720000
1996-10-16,738000,6465600,173200,2575900,4554200,3218400,2836000,34680000
1996-10-17,1620400,5308000,239000,1520600,5733600,2141200,2056000,34330000
1996-10-18,968400,10699200,159200,1739600,16016800,3230000,3191200,39940000
1996-10-21,726400,5972000,181000,888800,6060000,4133200,1736800,41960000
1996-10-22,581200,14061600,136800,606300,4442200,2223600,1175200,29440000
1996-10-23,1272800,13692000,252800,785100,3469400,3866800,1945600,37480000
1996-10-24,889600,13435200,232800,977900,3578200,14520800,4992000,34590000
1996-10-25,950000,10496000,201000,935200,2622600,4520000,2610400,25980000
1996-10-28,1016400,14592000,270800,1366000,3579000,3574400,2417600,30260000
1996-10-29,1336800,12766400,394600,1367600,4555000,4916400,2227200,32280000
1996-10-30,1878000,8773600,748200,896400,7685000,2578800,2865600,30250000
1996-10-31,2083600,4444800,1127200,1175500,4554600,6664400,1748800,37030000
1996-11-01,3447200,5345600,304600,1151500,5137400,5876000,2412000,37030000
1996-11-04,3174400,4344800,603800,1194200,3583000,3761600,1216800,37310000
1996-11-05,3264800,9633600,828600,1220200,4467600,5024400,1656000,40560000
1996-11-06,3023200,16116000,603600,1343700,4080800,5300400,2821600,46010000
1996-11-07,2456000,26131200,356600,1211600,5261400,4950000,2035200,39680000
1996-11-08,991200,15860000,349000,777100,3633000,2952800,2021600,32560000
1996-11-11,2065200,9042400,201000,538500,3358600,2346800,1516800,30720000
1996-11-12,1216800,9847200,456600,1313300,24592600,3566800,1564800,46090000
1996-11-13,1463600,4984000,353200,703700,23169400,3088000,2331200,39650000
1996-11-14,1811600,5008000,437800,900400,12972600,3997600,3011200,41260000
1996-11-15,4389200,3370400,213800,1860900,13649200,6409600,3524000,50690000
1996-11-18,3689200,2111200,243400,790700,5636600,3385600,1696000,31300000
1996-11-19,2825200,15438400,682600,965200,10066400,3433200,1769600,34750000
1996-11-20,2890000,5372800,512800,898100,10328600,5645600,1587200,38570000
1996-11-21,2418800,6060800,760400,1546400,7007600,2733200,1820000,36250000
1996-11-22,2002800,5603200,485400,1862300,5853400,2270800,2964000,32810000
1996-11-25,5111200,5976000,623200,1594200,6429000,3377600,4609600,33910000
1996-11-26,1664000,5679200,1873600,1406100,7454600,5274000,3005600,51000000
1996-11-27,988000,5535200,1332400,601200,4793800,3356400,2592800,29200000
1996-11-29,477200,1600000,222400,563600,1633600,1353600,909600,12210000
1996-12-02,1108400,5141600,314000,1525300,4286600,3645200,3616000,31220000
1996-12-03,977200,8294400,778200,1776600,7107400,3947600,2623200,38390000
1996-12-04,1538000,7412000,567200,1676400,6513600,7307200,4744000,44900000
1996-12-05,2440800,18176000,933200,1267700,6572000,6096400,2577600,36900000
1996-12-06,3155200,23295200,373000,1898400,5752000,4906800,3319200,48660000
1996-12-09,1919600,10473600,269400,1014900,7074000,4160800,3404800,31720000
1996-12-10,1704800,6404000,183000,1199900,6172800,3272800,2596800,35490000
1996-12-11,1871200,7061600,528400,1488900,5567400,3964800,4128000,49940000
1996-12-12,1550800,7402400,187000,2101500,7450400,6031600,2230800,41520000
1996-12-13,1871600,5629600,783200,1488500,6369800,4900000,4045200,44530000
1996-12-16,1102800,12995200,693200,1354400,8354800,3827200,3817600,43480000
1996-12-17,1637600,8157600,366000,1946400,10693400,4152800,2742800,42060000
1996-12-18,1139600,7356000,404400,1016000,7700000,3104000,2629600,38030000
1996-12-19,1473200,7063200,318400,792000,9644000,5052800,3800400,43220000
1996-12-20,2734000,7547200,534200,3280900,16076000,9430400,4196400,72430000
1996-12-23,1010400,3918400,125200,1107700,5717200,2928400,943200,25220000
1996-12-24,534400,1974400,58800,931200,1811200,1224000,652000,13350000
1996-12-26,673600,2872800,201600,1471600,4627600,2596400,1162000,20870000
1996-12-27,464800,2444800,302200,2831000,3398400,2331200,1252400,20860000
1996-12-30,835600,5760000,276800,2060300,4069600,2364400,1706400,26480000
1996-12-31,872800,4947200,241600,1343300,6244800,2420400,2735200,31910000
1997-01-02,1734800,4596000,830400,2663600,7448200,5065200,2542000,53850000
1997-01-03,2470400,6853600,954400,1670200,5615400,3741200,3989600,43050000
1997-01-06,1860400,7845600,885400,1326900,9480800,5544000,2985200,51680000
1997-01-07,2556400,4583200,311600,1751400,13868200,3578800,2136000,45470000
1997-01-08,3342000,17476000,553200,1447100,8917000,5900800,3096800,43040000
1997-01-09,2596000,13426400,477200,1860300,7612400,5144000,2500400,40440000
1997-01-10,2257600,9239200,354800,1534600,7199000,5516000,2468000,49590000
1997-01-13,1598400,11206400,398800,1159600,5137400,3926400,2282400,36300000
1997-01-14,1896400,21769600,410000,2574900,11452600,3406400,1992000,40130000
1997-01-15,1863600,11301600,690600,3007700,7666000,3526400,4190800,42830000
1997-01-16,2140400,5828800,519000,2605600,7883000,4548800,1950800,43870000
1997-01-17,1476000,6850400,740600,3082600,12106600,4350400,2083600,46580000
1997-01-20,1072000,4791200,185400,1827500,5138400,3619600,994400,34240000
1997-01-21,1401600,8323200,332000,2342900,10868800,3143600,2577200,48860000
1997-01-22,1863200,10483200,306800,2377400,8006800,4399600,2082800,52960000
1997-01-23,1473200,13241600,615600,1648400,15109600,3856400,5537600,54650000
1997-01-24,2134000,16844800,813600,1487900,7028800,4089200,3424400,56480000
1997-01-27,1701600,10623200,563200,1087800,8305400,4031200,2137200,47760000
1997-01-28,2048800,9632000,717600,1312200,8685800,11404800,2702000,50600000
1997-01-29,1954400,3542400,586800,1347800,5979600,7679600,2366000,41190000
1997-01-30,1055200,4828800,904400,1304200,6533000,6763600,1398800,38880000
1997-01-31,2044400,16624800,582800,2481700,11413200,4448800,2974400,41470000
1997-02-03,1543200,10099200,411000,2036000,5331600,4597600,2725600,39060000
1997-02-04,1024000,7872800,311000,1714900,4362400,4416000,2151200,34110000
1997-02-05,1696400,11530400,288200,2580500,10028200,5204000,3616800,47390000
1997-02-06,1919200,8237600,407200,2166600,7755400,6053600,2524000,47520000
1997-02-07,1401200,7291200,816600,1940700,7768400,6773200,2767200,42200000
1997-02-10,1522400,6757600,2050000,2508100,7459800,5654000,2278800,40360000
1997-02-11,1475600,8614400,1709000,2038500,8302800,4994400,6254400,39080000
1997-02-12,2120000,9929600,801800,1873500,7213600,4834000,6377200,42700000
1997-02-13,1339200,49536000,522000,1828100,9932000,7461600,4651200,44740000
1997-02-14,1212400,31451200,431000,1674200,6161600,5000400,4113600,37820000
1997-02-18,1398400,15523200,523000,1826600,7685600,5121200,3848400,35870000
1997-02-19,1555200,10573600,665200,1184300,7270000,4068000,2868400,38330000
1997-02-20,1291200,9592000,1008800,1164300,8159400,5118800,4210400,34310000
1997-02-21,1297200,8929600,477000,1576600,8271800,4340800,2248400,38340000
1997-02-24,1857600,5529600,347800,1254100,7419400,4254000,3346000,35560000
1997-02-25,1964800,9164000,285000,1219400,22502400,3356400,2195200,40790000
1997-02-26,1216400,8917600,275600,1650600,18787800,4652000,2883200,49840000
1997-02-27,1304000,5381600,143800,821800,11399600,3724400,2505200,36230000
1997-02-28,1211600,7132000,516400,1019300,7069000,4732400,2834800,41650000
1997-03-03,1195200,9028000,254800,1096500,8575000,3390800,1596000,46030000
1997-03-04,1376400,9632000,226400,1314400,6146600,4005200,1696000,54590000
1997-03-05,1005200,8964800,347000,1296400,5977800,4307600,2264800,66550000
1997-03-06,1353200,5142400,618400,1891100,12960200,5461600,3540800,44030000
1997-03-07,1368000,14405600,276000,1506100,7154800,6548000,2628800,39030000
1997-03-10,1406400,10290400,404600,1090700,7255200,6409600,2784000,32750000
1997-03-11,2862000,14897600,143000,1140900,7779200,6440800,2360800,37680000
1997-03-12,1798800,10818400,676200,1301700,20611600,4914000,1416000,36540000
1997-03-13,1018400,6525600,694800,1757400,20657000,4087200,1616000,44120000
1997-03-14,1342000,8012000,396000,2121000,12985200,6746000,1656800,37890000
1997-03-17,956000,11073600,319400,1856100,8245200,5148000,2717600,51520000
1997-03-18,1776400,3904800,126800,2366400,10431200,3482400,2018000,43240000
1997-03-19,845600,6470400,370600,1911800,19190200,4761200,3826000,51040000
1997-03-20,865200,4644800,415600,3555000,11126600,3168000,3142800,47410000
1997-03-21,1570000,5039200,450800,3174600,11929800,6114800,3638000,70970000
1997-03-24,1085200,10845600,193000,2222600,7407000,4010400,3311200,47960000
1997-03-25,1448800,7986400,223200,2131200,16439200,4492000,2685600,51530000
1997-03-26,1461200,7346400,207000,1797500,12647400,4830800,2916800,47450000
1997-03-27,1110400,4262400,635000,2637400,9004600,7318000,4491200,48610000
1997-03-31,1760400,9748000,721000,3506800,12109800,9397200,3098800,63290000
1997-04-01,1697600,5733600,325000,2592900,7407400,6710400,3168400,54790000
1997-04-02,1249200,8931200,415800,2308500,7122400,4986800,3166000,47190000
1997-04-03,1056400,5724800,241800,2405000,10021600,4430800,2928400,52060000
1997-04-04,1566400,9079200,701400,2873300,8181200,5560800,5299600,54080000
1997-04-07,722000,8301600,310600,4514100,3966000,3476000,2840400,37370000
1997-04-08,860000,4453600,400000,3634100,6765000,5269200,1948400,39990000
1997-04-09,830000,9433600,348400,1841600,6755200,8028000,2563600,43950000
1997-04-10,760400,10495200,512800,1939700,4903400,4134800,2217200,41600000
1997-04-11,1290000,10371200,604400,1665800,6279400,5085600,2117600,52070000
1997-04-14,2393600,10300000,620800,2949700,6522600,4534800,2069600,45830000
1997-04-15,1458000,7082400,507800,2048900,5905600,6823600,3162400,52710000
1997-04-16,2110800,10671200,431800,1973500,9009600,6817600,1543600,63490000
1997-04-17,1243200,7405600,294600,2877300,4158400,4454800,1926000,49890000
1997-04-18,1376800,17688000,497600,3448700,6279200,4536400,2430000,52060000
1997-04-21,1132400,13170400,343400,995500,5159400,4710000,2173600,43490000
1997-04-22,1292800,10203200,299400,1860500,6280000,6814800,3843600,59680000
1997-04-23,882000,13578400,135400,1438100,6237000,6715200,4382400,51320000
1997-04-24,1374000,12798400,234400,2082500,4300000,7040000,3564000,51400000
1997-04-25,642800,7935200,53200,6586900,4076000,6211600,2851200,43080000
1997-04-28,1269200,6157600,466200,2053000,4159600,5208800,3612800,43720000
1997-04-29,2659200,12642400,547400,3433100,5607400,6612400,3000400,58750000
1997-04-30,2126400,8033600,474400,3567100,8527800,4928400,5024800,60410000
1997-05-01,1630800,9667200,365800,1660700,5320800,4005600,2550800,40180000
1997-05-02,1124000,8224800,764200,1896700,5157200,3853200,3883600,46350000
1997-05-05,1773600,6556000,1250800,2871700,12384400,5349600,3160000,60160000
1997-05-06,1902800,16259200,906000,1887900,8031200,7230400,2370400,67150000
1997-05-07,1061600,9696000,972400,2179700,6491200,5129600,2714400,46820000
1997-05-08,1896400,29262400,834400,3303000,10392800,6456000,3679600,55560000
1997-05-09,1172800,15984800,416200,1661100,5158800,4464000,2004000,47690000
1997-05-12,1068000,6660000,477200,1889500,7276800,5557600,2761200,52370000
1997-05-13,1570400,7500000,734800,1356000,14121800,3802400,2517600,55940000
1997-05-14,1979600,10212800,501800,1261000,8968600,5193200,1894400,46000000
1997-05-15,1240400,3235200,195800,1658500,7079600,4066000,1732800,44050000
1997-05-16,1384800,5787200,447000,2535100,9377800,5792800,2788800,68120000
1997-05-19,878800,2615200,137000,716900,4611400,2448000,2096000,38050000
1997-05-20,1438800,4697600,545400,1290000,4256400,4009600,3612000,50010000
1997-05-21,1660400,5087200,551400,2022000,7292000,5881200,2633600,58380000
1997-05-22,848800,4205600,359600,1150400,4103600,5456000,3288000,41950000
1997-05-23,1016400,6094400,537200,1497200,2977400,4892400,1876400,39290000
1997-05-27,1881600,6719200,434000,2228100,3677000,4265600,3879600,49620000
1997-05-28,1123600,4521600,699000,1098900,5154200,2890000,4557600,49170000
1997-05-29,1604400,5432800,215400,777300,4498400,3461200,2387200,38620000
1997-05-30,1006800,13831200,373400,1701800,4833200,6533600,2517200,51120000
1997-06-02,656000,18281600,423200,2811400,6997600,5186800,1917200,43820000
1997-06-03,1056400,9929600,569000,2968700,8021000,4837200,1918000,45300000
1997-06-04,940800,10642400,390600,1523500,7040800,3476000,1243200,42260000
1997-06-05,964800,7160000,340600,1757000,5768400,3747600,2045200,44730000
1997-06-06,1859200,5022400,538800,2060100,5191600,3424800,1918400,44840000
1997-06-09,1726000,12612800,596200,2654500,5852200,3771600,1768000,44340000
1997-06-10,1306800,9052000,388200,2307800,7141400,4615200,1754400,51510000
1997-06-11,1004400,6596800,574400,2329000,7370200,4374400,2494000,55680000
1997-06-12,1510400,6289600,667000,2655200,7285000,4704000,2822800,62670000
1997-06-13,2411200,4525600,481200,2327200,7488200,4450000,2655200,70700000
1997-06-16,1264800,12474400,201000,2043200,7177600,3778800,1813600,45000000
1997-06-17,1888800,9574400,245200,2147800,8668400,4442800,2611200,53760000
1997-06-18,1404400,5741600,204000,1716300,4703400,5034000,2035600,44890000
1997-06-19,2140400,18542400,381600,1794700,5087200,4436000,2082000,52310000
1997-06-20,2304800,9694400,444200,2468600,11852000,5487200,2978800,82430000
1997-06-23,1952000,12539200,271000,1425800,4654600,3314800,1797600,49260000
1997-06-24,1925200,15393600,552200,2307600,5773800,5581200,3183600,56800000
1997-06-25,1532400,13679200,521600,1734100,9015800,4575200,4096800,59860000
1997-06-26,2412400,6684800,472800,1444500,6051600,3761600,2076400,46500000
1997-06-27,2244400,16827200,182200,1685300,5120400,4578800,1802000,41090000
1997-06-30,2317600,13314400,554200,1370900,8478600,5238800,3337200,48990000
1997-07-01,2366400,10948800,478600,1478300,7282000,4126400,2714800,53430000
1997-07-02,2491200,7920800,418800,1032600,4709600,3658400,2458800,51400000
1997-07-03,2396400,6220800,204400,863600,6471400,2564800,3072400,40870000
1997-07-07,2745200,5409600,655000,1551500,8523600,4496000,2226800,53230000
1997-07-08,1640800,10404800,779000,1733400,4510800,6045600,1210800,47220000
1997-07-09,7681600,19432000,413800,3051900,8805200,11372800,2547200,67000000
1997-07-10,3446000,10655200,468400,1729400,10703600,6474000,4581200,58930000
1997-07-11,2132400,9782400,405400,1700200,6099800,4303200,3272000,46330000
1997-07-14,2091200,8908000,197200,2165800,7645800,4554400,1994400,49490000
1997-07-15,1774400,10621600,723400,3016300,5570200,6031600,1811600,59190000
1997-07-16,1924800,13470400,618200,2469300,6320800,5684000,1618800,74910000
1997-07-17,1752400,8041600,346000,2136600,7179800,4384000,2023200,78860000
1997-07-18,2083200,5150400,599000,4044000,8954400,6090800,1719600,73340000
1997-07-21,2148000,3180800,664200,3403000,10963000,4195600,1608800,56890000
1997-07-22,1971600,6504800,571600,2667900,9170000,4544400,1541600,68760000
1997-07-23,1809200,11041600,665800,2174200,13508200,3755200,4702800,71420000
1997-07-24,1508400,15752000,522800,1936000,6680200,4448800,5127600,57790000
1997-07-25,1319600,10497600,694200,1235600,10161000,3027200,2664400,52410000
1997-07-28,1140000,4684000,269000,1935800,7858600,3133600,3921600,49850000
1997-07-29,2464000,5568800,764200,2269100,6814400,4710800,3592800,55350000
1997-07-30,1611600,11187200,509200,1470900,5946600,3963600,3504800,50390000
1997-07-31,2223200,5134400,648600,1054600,4621800,5716800,3193600,48220000
1997-08-01,2399200,3999200,414800,1415400,7329000,5191600,4657600,53770000
1997-08-04,1760400,19035200,525400,1233700,6059400,4604800,2378400,45010000
1997-08-05,1200400,18918400,712800,1124400,3881000,3954400,1414000,41370000
1997-08-06,2278400,17226400,287200,1756800,6216800,5052800,1319200,50320000
1997-08-07,1809200,65564800,426800,1869300,6682600,4544000,2439200,56100000
1997-08-08,2082400,34592000,555600,1584100,5889000,7213600,4531200,65470000
1997-08-11,2324400,21329600,1515200,1602800,6363800,6069600,2029600,64450000
1997-08-12,2213800,13834400,385600,2756100,7440400,4642800,3079600,56430000
1997-08-13,2260400,11359200,571400,1723800,9353600,7278400,3288000,68900000
1997-08-14,1435200,13120800,389800,2216400,6712600,5002400,3971600,56410000
1997-08-15,2154200,13083200,361800,2773500,11314000,8687200,2854000,61190000
1997-08-18,1689200,10767200,286800,3844400,5781600,12747600,3594400,69260000
1997-08-19,1933800,6690400,253800,2823100,5638200,9219200,4108800,57640000
1997-08-20,1415800,7590400,118400,2863800,8134600,5849200,2118000,49680000
1997-08-21,1427800,8521600,639600,3375500,4458800,6386000,2923600,45670000
1997-08-22,1761800,5291200,620200,4388400,8065200,8083600,2952400,52970000
1997-08-25,1473400,6372000,404400,2362100,4053600,3671200,3653200,40480000
1997-08-26,1407400,8022400,533400,2103000,4279800,6567200,3251200,44860000
1997-08-27,1662200,5757600,405000,2469500,4465600,7236000,2550800,51550000
1997-08-28,1626000,5492800,499800,2702100,4469000,4737200,2691200,49710000
1997-08-29,1160600,2835200,190800,1549500,3977400,4299600,1918000,41950000
1997-09-02,1415400,7988800,453000,2476100,6798000,5915600,2850000,54770000
1997-09-03,1791000,11913600,594200,4767300,6731000,5456400,3112000,54600000
1997-09-04,1370200,8820000,194200,4254800,5832800,3592000,4273600,52710000
1997-09-05,1370200,14274400,2441000,2520000,5059000,11446800,8367200,51450000
1997-09-08,1028400,5004000,265400,2067400,3841200,6089600,3392800,38990000
1997-09-09,1542200,6907200,364200,3254300,6373600,4942000,2942400,48790000
1997-09-10,1564600,6588800,724200,2867100,7342200,7690000,4956800,60370000
1997-09-11,2470400,12861600,377200,2792800,6923200,8899200,4200400,74030000
1997-09-12,2131600,11602400,323400,2403900,5563200,6936400,2409200,58660000
1997-09-15,1486000,6440000,222800,3067500,3221000,4686400,2248000,47700000
1997-09-16,2064000,4095200,426200,4360300,8188200,8849200,4863600,81000000
1997-09-17,1744400,5121600,378400,3147600,5926600,6656000,2437200,63070000
1997-09-18,1332600,6204800,193400,4053400,5407800,8025600,3693600,66770000
1997-09-19,2143200,4483200,379000,7650100,10006600,7755200,3609600,74700000
1997-09-22,1439000,4034400,268600,4785600,4088000,3716000,3273200,59820000
1997-09-23,2294000,13591200,145600,3338500,6539400,3808000,1892800,53080000
1997-09-24,1655800,9615200,348400,3015400,6026800,4635800,10124800,68040000
1997-09-25,1771600,12204000,627400,1944200,5160800,3801400,2444800,55040000
1997-09-26,2303000,4899200,204800,2270500,5103600,3254200,3122400,51050000
1997-09-29,1850000,17307200,229600,2231500,4080200,3157400,2365200,48070000
1997-09-30,2362800,9961600,298200,3125900,4639000,2750600,3380800,49840000
1997-10-01,1631000,17733600,228200,2644900,5960800,3895000,3007600,54310000
1997-10-02,2497600,16336000,129800,2448300,5407800,2874400,4650800,47190000
1997-10-03,2431800,11002400,386400,2927400,5977600,5223400,5305200,77870000
1997-10-06,2133000,7817600,144000,1739000,4097000,4238400,4132000,46020000
1997-10-07,1506200,9396000,242400,4497700,4512200,4057400,6313200,54930000
1997-10-08,1462200,37399200,335800,2883600,6890600,4149800,6015600,59730000
1997-10-09,1322800,9049600,166600,2196600,6177400,2724200,3658800,49660000
1997-10-10,1295800,4500000,86200,2437700,5204600,2323200,6423200,40120000
1997-10-13,1464800,2460800,164800,1447600,3527000,1712600,2326800,29900000
1997-10-14,1601800,4455200,155000,1821700,5402800,3664400,3666800,57860000
1997-10-15,1426400,6392000,210200,3442000,5505400,2382800,2792800,44920000
1997-10-16,1603200,6676000,310200,2454100,4598000,3134800,2858400,67500000
1997-10-17,1833400,5032000,446600,2256400,6395600,3918800,2526000,81010000
1997-10-20,1260600,6096000,313000,2125000,4094200,2681800,2168000,64290000
1997-10-21,1296400,3932000,169000,1828500,4833000,2716800,2926800,66020000
1997-10-22,1640200,6187200,148000,5269800,4066800,2997000,4221600,89950000
1997-10-23,3110200,5952800,450200,4562000,5362800,3804000,6070000,86340000
1997-10-24,2608600,3743200,255800,4586600,5482000,3749800,8684400,91090000
1997-10-27,1624000,29982400,399200,4360900,9108600,5012000,6316000,91830000
1997-10-28,4449400,28332800,588000,6726000,15899800,9514200,13935200,160970000
1997-10-29,1973200,11971200,582000,3975700,7589200,4825200,8265600,95990000
1997-10-30,1781400,8492800,334400,2408600,8361200,3653800,10612800,77160000
1997-10-31,1513800,14307200,302000,2345100,4358200,3943600,7089200,70370000
1997-11-03,2549800,7462400,462000,2473300,5115200,4317400,4674400,67160000
1997-11-04,1218200,7123200,419800,3105400,3871400,3675400,5218400,56330000
1997-11-05,2270000,9143200,699800,2224800,4265600,4796800,8794000,56780000
1997-11-06,3320400,26991200,390600,2213100,5898400,3412000,5291200,54580000
1997-11-07,1571600,9038400,275400,2740400,4713800,4501400,4472400,66150000
1997-11-10,1418600,4887200,317200,2765900,4373200,2914000,3453600,51810000
1997-11-11,889600,3240800,174000,1783400,4364200,3239400,3548800,47530000
1997-11-12,1366400,5165600,603800,2785000,10488800,5149000,3622000,63890000
1997-11-13,1209200,2860800,226200,5157500,6268800,4689000,3750000,66900000
1997-11-14,1899800,3684800,278200,3669700,8622600,5603200,5747200,60500000
1997-11-17,1692200,4682400,587200,2587600,10570200,5471600,2186400,64880000
1997-11-18,1699800,2507200,245000,4112500,6435400,3855600,2026400,59380000
1997-11-19,1290400,4279200,258600,3829400,6150200,4422000,2451600,50760000
1997-11-20,1387200,6169600,390400,3610100,5102200,6109600,2681600,61630000
1997-11-21,1460400,4635200,210800,3936300,5785200,3626800,3779200,63730000
1997-11-24,1215000,9050400,242800,2375500,5182600,3936600,4892400,52420000
1997-11-25,1389600,11375200,207800,3320000,5853400,4051000,3156000,56360000
1997-11-26,1600800,4096000,161000,3622300,3314600,3109000,2932000,47420000
1997-11-28,686200,1040800,57000,964100,1746800,1246800,1147200,20080000
1997-12-01,1660400,5261600,427400,4144000,5108000,3604400,3941200,58280000
1997-12-02,869000,2077600,207200,3398900,5027200,3306400,3897600,55750000
1997-12-03,1024600,6133600,309400,4015800,5235000,3293600,3863600,63020000
1997-12-04,2053400,4465600,194200,6047300,4813800,3821800,4460000,64380000
1997-12-05,1424400,6284800,233600,3397500,4433800,3158200,3307600,60710000
1997-12-08,1648600,5107200,133400,2399500,3099000,3164800,2811200,46280000
1997-12-09,772200,3260000,274000,1928100,3760400,2580600,5753600,51060000
1997-12-10,939800,11564000,489000,3088200,4122400,3480600,5067600,62990000
1997-12-11,1166000,6624800,313400,3952800,6202000,4211600,6264800,63790000
1997-12-12,1752200,5380800,679200,2031900,5912400,3531600,2546800,55520000
1997-12-15,1768200,5505600,351000,2515800,6761200,2705200,3126000,54110000
1997-12-16,2320000,5149600,218600,1828100,7140200,4566200,3280800,57110000
1997-12-17,1804400,5060000,205600,2767500,4561600,4130400,3214400,56990000
1997-12-18,1203800,16598400,331600,3255200,6095200,3468200,4490400,62330000
1997-12-19,2142800,11340000,464400,5378100,9996600,6795200,6920400,98690000
1997-12-22,1367200,5447200,141400,2690700,3639200,2927400,2390800,50130000
1997-12-23,1251800,11217600,131400,1709400,4059200,2763800,1751200,40540000
1997-12-24,1234000,4761600,82600,1172900,3163600,2702200,1071600,25510000
1997-12-26,763600,930400,40000,504000,1533400,722200,376800,13340000
1997-12-29,1595000,4611200,309000,2575700,2664200,2822800,3767600,35190000
1997-12-30,2317000,5274400,212000,1563700,4663000,2179000,3513200,43620000
1997-12-31,1344600,5143200,171600,3501000,3827000,2309200,2555200,36720000
1998-01-02,1105400,4058400,122000,3931200,3343000,3088400,1890400,47030000
1998-01-05,1437800,6488800,220400,3628700,4562000,4996400,2882000,67560000
1998-01-06,934000,7586400,230200,4532400,6729000,3845400,2322000,60200000
1998-01-07,1107000,8560000,252400,3831600,5268800,4284600,3116800,60990000
1998-01-08,1557600,9160800,402200,4006200,4866400,2909200,2311600,63720000
1998-01-09,1366000,8975200,559400,3837600,6115400,4571800,3357600,86300000
1998-01-12,1767800,10134400,750200,3846800,8704000,4965600,7240000,80340000
1998-01-13,2669200,8431200,324600,2879000,5518400,4335600,3120000,69010000
1998-01-14,1544200,5257600,300800,1883200,6507800,3936200,2571600,60650000
1998-01-15,1250000,12656800,322200,1697100,4439200,2511000,2390400,55900000
1998-01-16,2031800,8945600,186400,2598700,7396200,5182600,2987600,72620000
1998-01-20,1946600,9444800,2795000,2259800,7682800,3412800,3598000,69310000
1998-01-21,2003200,7494400,2863600,2703700,6163400,3588800,1519200,69130000
1998-01-22,1257800,5034400,1511400,3152300,5741200,3387800,6556800,73460000
