Date,TRV,DOW
1988-04-04,483200,17250000
1988-04-05,734000,16940000
1988-04-06,860800,28270000
1988-04-07,714400,22550000
1988-04-08,2712400,19890000
1988-04-11,997200,16800000
1988-04-12,556000,20050000
1988-04-13,932000,20010000
1988-04-14,2323600,30090000
1988-04-15,2778000,33860000
1988-04-18,1367600,15940000
1988-04-19,2256000,21110000
1988-04-20,933600,20000000
1988-04-21,2315200,26460000
1988-04-22,1660000,16580000
1988-04-25,924800,16270000
1988-04-26,1148000,20310000
1988-04-27,1066400,17170000
1988-04-28,769600,16980000
1988-04-29,538800,17060000
1988-05-02,1103200,15660000
1988-05-03,1224000,16640000
1988-05-04,892000,18470000
1988-05-05,722400,44620000
1988-05-06,432400,16300000
1988-05-09,1549200,12520000
1988-05-10,928400,16250000
1988-05-11,592000,18980000
1988-05-12,869200,13130000
1988-05-13,487200,14160000
1988-05-16,557600,12440000
1988-05-17,1436400,18190000
1988-05-18,536000,18810000
1988-05-19,1438000,22670000
1988-05-20,773200,18620000
1988-05-23,905600,14620000
1988-05-24,657600,12820000
1988-05-25,571600,15420000
1988-05-26,345200,53350000
1988-05-27,201200,10380000
1988-05-31,1474400,21160000
1988-06-01,1319200,34980000
1988-06-02,660000,23410000
1988-06-03,330400,19640000
1988-06-06,349200,15480000
1988-06-07,556400,20310000
1988-06-08,377600,28680000
1988-06-09,474800,24700000
1988-06-10,355200,19550000
1988-06-13,201200,12490000
1988-06-14,420400,40430000
1988-06-15,265600,16740000
1988-06-16,303600,18880000
1988-06-17,853200,36950000
1988-06-20,207200,13410000
1988-06-21,794400,20460000
1988-06-22,544000,28940000
1988-06-23,660000,21580000
1988-06-24,352000,17590000
1988-06-27,596800,15690000
1988-06-28,455600,15660000
1988-06-29,414800,16100000
1988-06-30,273200,24430000
1988-07-01,796000,14340000
1988-07-05,610800,16870000
1988-07-06,452000,21230000
1988-07-07,990000,17000000
1988-07-08,201200,12630000
1988-07-11,185600,10280000
1988-07-12,220400,18610000
1988-07-13,320800,18250000
1988-07-14,162400,14930000
1988-07-15,281600,22040000
1988-07-18,211600,17140000
1988-07-19,203600,15420000
1988-07-20,744000,12290000
1988-07-21,136800,13200000
1988-07-22,368000,15700000
1988-07-25,485600,10670000
1988-07-26,550000,12570000
1988-07-27,753600,14970000
1988-07-28,312000,15630000
1988-07-29,406000,25140000
1988-08-01,1066800,14450000
1988-08-02,1689600,20610000
1988-08-03,1116800,18270000
1988-08-04,1413600,20280000
1988-08-05,628000,12880000
1988-08-08,932000,12410000
1988-08-09,358400,19580000
1988-08-10,357600,22390000
1988-08-11,160000,27400000
1988-08-12,72800,13430000
1988-08-15,278800,15450000
1988-08-16,2161600,20440000
1988-08-17,1291600,16820000
1988-08-18,231600,14070000
1988-08-19,282400,16280000
1988-08-22,356400,13640000
1988-08-23,446400,14530000
1988-08-24,705200,14480000
1988-08-25,410400,14630000
1988-08-26,672000,10930000
1988-08-29,777600,11390000
1988-08-30,333600,11040000
1988-08-31,1329600,11990000
1988-09-01,1154800,16540000
1988-09-02,2044000,17210000
1988-09-06,800400,12870000
1988-09-07,744800,14400000
1988-09-08,628800,13250000
1988-09-09,382400,16890000
1988-09-12,536000,15130000
1988-09-13,617600,14080000
1988-09-14,1558800,21440000
1988-09-15,531600,15250000
1988-09-16,449600,29580000
1988-09-19,364000,15350000
1988-09-20,228800,13200000
1988-09-21,354000,12970000
1988-09-22,344400,14370000
1988-09-23,1741600,17090000
1988-09-26,467200,9030000
1988-09-27,300000,11410000
1988-09-28,357200,11930000
1988-09-29,1703200,19200000
1988-09-30,822000,20120000
1988-10-03,463600,14490000
1988-10-04,315600,13550000
1988-10-05,520000,21070000
1988-10-06,269200,16880000
1988-10-07,1160000,27500000
1988-10-10,324400,15560000
1988-10-11,71200,14180000
1988-10-12,637200,17840000
1988-10-13,300000,15730000
1988-10-14,530400,15620000
1988-10-17,771200,12970000
1988-10-18,1574800,19450000
1988-10-19,958800,21580000
1988-10-20,678400,24030000
1988-10-21,414400,30340000
1988-10-24,876000,16280000
1988-10-25,416800,15080000
1988-10-26,365200,19830000
1988-10-27,1204800,19330000
1988-10-28,953600,17200000
1988-10-31,389600,19330000
1988-11-01,1976000,18110000
1988-11-02,363600,21690000
1988-11-03,626000,21670000
1988-11-04,814400,16410000
1988-11-07,282000,18180000
1988-11-08,262400,14580000
1988-11-09,368400,17900000
1988-11-10,169600,13230000
1988-11-11,1402000,16780000
1988-11-14,1041200,17470000
1988-11-15,1408400,12940000
1988-11-16,1241600,22830000
1988-11-17,754800,14510000
1988-11-18,670400,15370000
1988-11-21,524000,12200000
1988-11-22,727200,13320000
1988-11-23,1007600,12750000
1988-11-25,399200,9480000
1988-11-28,729200,12320000
1988-11-29,616400,14940000
1988-11-30,881200,15590000
1988-12-01,1745200,13580000
1988-12-02,518400,14440000
1988-12-05,330800,16100000
1988-12-06,664000,17780000
1988-12-07,392400,19160000
1988-12-08,357200,16030000
1988-12-09,439200,11650000
1988-12-12,566000,11370000
1988-12-13,308800,15210000
1988-12-14,400400,12470000
1988-12-15,220800,11040000
1988-12-16,1094800,27140000
1988-12-19,991600,17740000
1988-12-20,255200,18980000
1988-12-21,447600,16040000
1988-12-22,2016400,16800000
1988-12-23,209600,6000000
1988-12-27,82800,7400000
1988-12-28,547600,10190000
1988-12-29,198000,12220000
1988-12-30,750000,11140000
1989-01-03,515600,17310000
1989-01-04,889200,15710000
1989-01-05,651200,20310000
1989-01-06,783600,16500000
1989-01-09,901200,18420000
1989-01-10,1435200,14690000
1989-01-11,1228800,14790000
1989-01-12,1861600,21440000
1989-01-13,1408800,14450000
1989-01-16,1588400,11020000
1989-01-17,1201600,15810000
1989-01-18,1264000,22650000
1989-01-19,1902000,20760000
1989-01-20,353600,21660000
1989-01-23,871200,18570000
1989-01-24,937600,23610000
1989-01-25,995600,25690000
1989-01-26,2151200,28490000
1989-01-27,1236000,40880000
1989-01-30,1235600,26990000
1989-01-31,791600,28060000
1989-02-01,987200,34960000
1989-02-02,1894800,18290000
1989-02-03,1004800,17260000
1989-02-06,704800,15610000
1989-02-07,915200,34070000
1989-02-08,566800,21970000
1989-02-09,851600,32770000
1989-02-10,1506800,19820000
1989-02-13,1625200,16380000
1989-02-14,1288400,21650000
1989-02-15,1545600,19630000
1989-02-16,2609200,18930000
1989-02-17,1837600,21000000
1989-02-21,828000,15480000
1989-02-22,1509200,20020000
1989-02-23,896400,16700000
1989-02-24,1619600,18650000
1989-02-27,1511200,15530000
1989-02-28,3092800,15860000
1989-03-01,490400,20020000
1989-03-02,408800,17660000
1989-03-03,262400,16630000
1989-03-06,392400,16520000
1989-03-07,336000,18090000
1989-03-08,412400,17510000
1989-03-09,513200,16710000
1989-03-10,710400,17430000
1989-03-13,526400,17880000
1989-03-14,624400,14750000
1989-03-15,700800,21000000
1989-03-16,560400,25190000
1989-03-17,1203600,39410000
1989-03-20,734800,19600000
1989-03-21,247600,15380000
1989-03-22,602400,15220000
1989-03-23,309200,20520000
1989-03-27,314800,12490000
1989-03-28,700000,17320000
1989-03-29,953600,14520000
1989-03-30,436000,17800000
1989-03-31,563600,15980000
1989-04-03,1366400,16240000
1989-04-04,713200,15710000
1989-04-05,436400,15960000
1989-04-06,939200,14120000
1989-04-07,412400,15400000
1989-04-10,148800,12940000
1989-04-11,338000,15160000
1989-04-12,333200,18390000
1989-04-13,493600,14690000
1989-04-14,319600,20690000
1989-04-17,527200,13760000
1989-04-18,2925200,25240000
1989-04-19,486800,21700000
1989-04-20,722000,21410000
1989-04-21,1020400,27210000
1989-04-24,316800,18550000
1989-04-25,635600,21850000
1989-04-26,170000,17050000
1989-04-27,632000,25780000
1989-04-28,542400,17410000
1989-05-01,632000,14110000
1989-05-02,979600,29030000
1989-05-03,506000,16060000
1989-05-04,1661200,14680000
1989-05-05,2022800,18100000
1989-05-08,672800,17290000
1989-05-09,293600,15940000
1989-05-10,416400,15980000
1989-05-11,246400,15820000
1989-05-12,796000,28690000
1989-05-15,853600,32410000
1989-05-16,661200,20170000
1989-05-17,392000,22230000
1989-05-18,309600,20860000
1989-05-19,740400,48360000
1989-05-22,326000,23520000
1989-05-23,406400,23400000
1989-05-24,619200,21640000
1989-05-25,306800,17150000
1989-05-26,182000,18500000
1989-05-30,467200,19040000
1989-05-31,394000,17990000
