Date,VZ,DOW
1987-12-29,14.445372,1926.890015
1987-12-30,14.613995,1950.099976
1987-12-31,14.613995,1938.829956
1988-01-04,15.232279,2015.250000
1988-01-05,15.372798,2031.500000
1988-01-06,15.063656,2037.800049
1988-01-07,15.119864,2051.889893
1988-01-08,14.220541,1911.310059
1988-01-11,14.501579,1945.130005
1988-01-12,14.501579,1928.550049
1988-01-13,15.007448,1924.729980
1988-01-14,14.951241,1916.109985
1988-01-15,15.597629,1956.069946
1988-01-18,15.372798,1963.859985
1988-01-19,15.147967,1936.339966
1988-01-20,14.810721,1879.140015
1988-01-21,14.866929,1879.310059
1988-01-22,15.372798,1903.510010
1988-01-25,15.878668,1946.449951
1988-01-26,15.681941,1920.589966
1988-01-27,15.766253,1911.140015
1988-01-28,16.047291,1930.040039
1988-01-29,16.356432,1958.219971
1988-02-01,16.328329,1944.630005
1988-02-02,16.244017,1952.920044
1988-02-03,16.159706,1924.569946
1988-02-04,16.131601,1923.569946
1988-02-05,16.159706,1910.479980
1988-02-08,16.075394,1895.719971
1988-02-09,16.187809,1914.459961
1988-02-10,16.496952,1962.040039
1988-02-11,16.244017,1961.540039
1988-02-12,16.384537,1983.260010
1988-02-16,16.215914,2005.969971
1988-02-17,15.850564,2000.989990
1988-02-18,15.710045,1986.410034
1988-02-19,15.962979,2014.589966
1988-02-22,16.075394,2040.290039
1988-02-23,15.934875,2039.119995
1988-02-24,15.934875,2039.949951
1988-02-25,15.766253,2017.569946
1988-02-26,15.962979,2023.209961
1988-02-29,16.244017,2071.620117
1988-03-01,16.159706,2070.469971
1988-03-02,16.187809,2071.290039
1988-03-03,16.103498,2063.489990
1988-03-04,15.766253,2057.860107
1988-03-07,15.710045,2056.370117
1988-03-08,15.625732,2081.070068
1988-03-09,15.485213,2074.270020
1988-03-10,15.176071,2026.030029
1988-03-11,15.457109,2034.979980
1988-03-14,15.569525,2050.070068
1988-03-15,15.710045,2047.410034
1988-03-16,16.019186,2064.320068
1988-03-17,15.991083,2086.040039
1988-03-18,15.962979,2087.370117
1988-03-21,15.794356,2067.139893
1988-03-22,15.766253,2066.149902
1988-03-23,15.738149,2067.639893
1988-03-24,15.597629,2023.869995
1988-03-25,15.09176,1978.949951
1988-03-28,15.007448,1979.770020
1988-03-29,14.979344,1998.339966
1988-03-30,14.72641,1978.119995
1988-03-31,14.866929,1988.060059
1988-04-04,14.979344,1980.599976
1988-04-05,15.147967,1997.510010
1988-04-06,15.400902,2061.669922
1988-04-07,15.400902,2062.169922
1988-04-08,15.513317,2090.189941
1988-04-11,15.400902,2095.989990
1988-04-12,15.457109,2110.080078
1988-04-13,15.513317,2107.100098
1988-04-14,14.866929,2005.640015
1988-04-15,14.979344,2013.930054
1988-04-18,14.754514,2008.119995
1988-04-19,14.613995,1999.500000
1988-04-20,14.529683,1985.410034
1988-04-21,14.529683,1987.400024
1988-04-22,14.810721,2015.089966
1988-04-25,15.09176,2035.969971
1988-04-26,15.176071,2044.760010
1988-04-27,15.09176,2047.910034
1988-04-28,14.951241,2041.280029
1988-04-29,15.147967,2032.329956
1988-05-02,15.176071,2043.270020
1988-05-03,15.176071,2058.360107
1988-05-04,14.951241,2036.310059
1988-05-05,14.698306,2020.229980
1988-05-06,14.613995,2007.459961
1988-05-09,14.698306,1997.349976
1988-05-10,14.951241,2003.640015
1988-05-11,14.754514,1965.849976
1988-05-12,14.951241,1968.000000
1988-05-13,15.035552,1990.550049
1988-05-16,15.147967,2007.630005
1988-05-17,14.951241,1986.410034
1988-05-18,14.698306,1951.089966
1988-05-19,15.035552,1958.719971
1988-05-20,15.063656,1952.589966
1988-05-23,15.007448,1941.479980
1988-05-24,15.400902,1962.530029
1988-05-25,15.513317,1961.369995
1988-05-26,15.569525,1966.699951
1988-05-27,15.485213,1956.439941
1988-05-31,16.159706,2031.119995
1988-06-01,16.384537,2064.010010
1988-06-02,16.131601,2052.449951
1988-06-03,16.131601,2071.310059
1988-06-06,15.962979,2075.209961
1988-06-07,15.962979,2054.590088
1988-06-08,16.496952,2102.949951
1988-06-09,16.244017,2093.350098
1988-06-10,16.244017,2101.709961
1988-06-13,16.075394,2099.399902
1988-06-14,16.468847,2124.469971
1988-06-15,16.41264,2131.399902
1988-06-16,16.187809,2094.239990
1988-06-17,16.300224,2104.020020
1988-06-20,16.187809,2083.929932
1988-06-21,16.300224,2109.169922
1988-06-22,16.721783,2152.199951
1988-06-23,16.609367,2148.290039
1988-06-24,16.244017,2142.959961
1988-06-27,15.962979,2108.459961
1988-06-28,16.187809,2130.870117
1988-06-29,15.878668,2121.979980
1988-06-30,16.159706,2141.709961
1988-07-01,16.019186,2131.580078
1988-07-05,16.468847,2158.610107
1988-07-06,15.906772,2130.159912
1988-07-07,15.850564,2122.689941
1988-07-08,15.738149,2106.149902
1988-07-11,15.82246,2111.310059
1988-07-12,15.766253,2092.639893
1988-07-13,15.681941,2104.370117
1988-07-14,15.653837,2113.620117
1988-07-15,15.82246,2129.449951
1988-07-18,15.766253,2117.889893
1988-07-19,15.794356,2097.260010
1988-07-20,15.710045,2110.600098
1988-07-21,15.541421,2086.590088
1988-07-22,15.400902,2060.989990
1988-07-25,15.429006,2071.830078
1988-07-26,15.457109,2073.969971
1988-07-27,15.344694,2053.699951
1988-07-28,15.485213,2082.330078
1988-07-29,15.991083,2128.729980
1988-08-01,16.215914,2130.510010
1988-08-02,16.159706,2131.219971
1988-08-03,16.075394,2134.070068
1988-08-04,16.047291,2126.600098
1988-08-05,16.047291,2119.129883
1988-08-08,15.906772,2107.399902
1988-08-09,15.569525,2079.129883
1988-08-10,15.400902,2034.140015
1988-08-11,15.457109,2039.300049
1988-08-12,15.597629,2037.520020
1988-08-15,15.400902,2004.270020
1988-08-16,15.485213,2021.510010
1988-08-17,15.569525,2025.959961
1988-08-18,15.513317,2027.030029
1988-08-19,15.513317,2016.000000
1988-08-22,15.457109,1990.219971
1988-08-23,15.541421,1989.329956
1988-08-24,15.681941,2026.670044
1988-08-25,15.429006,2010.849976
1988-08-26,15.457109,2017.430054
1988-08-29,15.513317,2041.430054
1988-08-30,15.541421,2038.229980
1988-08-31,15.457109,2031.650024
1988-09-01,15.344694,2002.310059
1988-09-02,15.738149,2054.590088
1988-09-06,15.653837,2065.260010
1988-09-07,15.794356,2065.790039
1988-09-08,15.82246,2063.120117
1988-09-09,15.962979,2068.810059
1988-09-12,15.906772,2072.370117
1988-09-13,15.906772,2083.040039
1988-09-14,15.991083,2100.639893
1988-09-15,15.878668,2092.280029
1988-09-16,16.159706,2098.149902
1988-09-19,15.934875,2081.080078
1988-09-20,16.103498,2087.479980
1988-09-21,16.047291,2090.500000
1988-09-22,15.962979,2080.010010
1988-09-23,16.103498,2090.679932
1988-09-26,15.82246,2085.169922
1988-09-27,15.906772,2082.330078
1988-09-28,15.850564,2085.530029
1988-09-29,16.131601,2119.310059
1988-09-30,16.187809,2112.909912
1988-10-03,16.215914,2105.260010
1988-10-04,16.047291,2102.060059
1988-10-05,16.047291,2106.510010
1988-10-06,16.075394,2107.750000
1988-10-07,16.55316,2150.250000
1988-10-10,16.468847,2158.959961
1988-10-11,16.384537,2156.469971
1988-10-12,16.215914,2126.239990
1988-10-13,16.187809,2133.360107
1988-10-14,16.244017,2133.179932
1988-10-17,16.244017,2140.469971
1988-10-18,16.328329,2159.850098
1988-10-19,16.187809,2137.270020
1988-10-20,16.496952,2181.189941
1988-10-21,16.609367,2183.500000
1988-10-24,16.581263,2170.340088
1988-10-25,16.609367,2173.360107
1988-10-26,16.496952,2165.179932
1988-10-27,16.272121,2140.830078
1988-10-28,16.384537,2149.889893
1988-10-31,16.55316,2148.649902
1988-11-01,16.525055,2150.959961
1988-11-02,16.41264,2156.830078
1988-11-03,16.328329,2170.340088
1988-11-04,16.272121,2145.800049
1988-11-07,16.131601,2124.639893
1988-11-08,16.159706,2127.489990
1988-11-09,16.047291,2118.239990
1988-11-10,16.131601,2114.689941
1988-11-11,15.962979,2067.030029
1988-11-14,15.878668,2065.080078
1988-11-15,15.906772,2077.169922
1988-11-16,15.710045,2038.579956
1988-11-17,15.738149,2052.449951
1988-11-18,15.850564,2062.409912
1988-11-21,15.82246,2065.969971
1988-11-22,15.794356,2077.699951
1988-11-23,15.850564,2092.280029
1988-11-25,15.738149,2074.679932
1988-11-28,15.710045,2081.439941
1988-11-29,15.794356,2101.530029
1988-11-30,15.906772,2114.510010
1988-12-01,15.878668,2101.879883
1988-12-02,15.850564,2092.280029
1988-12-05,16.103498,2123.760010
1988-12-06,16.300224,2149.360107
1988-12-07,16.328329,2153.629883
1988-12-08,16.328329,2141.709961
1988-12-09,16.41264,2143.489990
1988-12-12,16.41264,2139.580078
1988-12-13,16.609367,2143.489990
1988-12-14,16.356432,2134.250000
1988-12-15,16.300224,2133.000000
1988-12-16,16.496952,2150.709961
1988-12-19,16.525055,2172.679932
1988-12-20,16.328329,2166.070068
1988-12-21,16.300224,2164.639893
1988-12-22,16.131601,2160.360107
1988-12-23,16.019186,2168.929932
1988-12-27,15.878668,2162.679932
1988-12-28,15.878668,2166.429932
1988-12-29,16.019186,2182.679932
1988-12-30,15.991083,2168.570068
1989-01-03,15.710045,2144.639893
1989-01-04,15.82246,2177.679932
1989-01-05,15.766253,2190.540039
1989-01-06,15.850564,2194.290039
1989-01-09,15.934875,2199.459961
1989-01-10,15.850564,2193.209961
1989-01-11,15.878668,2206.429932
1989-01-12,15.794356,2222.320068
1989-01-13,15.738149,2226.070068
1989-01-16,15.82246,2224.639893
1989-01-17,15.850564,2214.639893
1989-01-18,16.187809,2238.750000
1989-01-19,16.187809,2239.110107
1989-01-20,16.159706,2235.360107
1989-01-23,16.075394,2218.389893
1989-01-24,16.356432,2256.429932
1989-01-25,16.440744,2265.889893
1989-01-26,16.55316,2291.070068
1989-01-27,16.946613,2322.860107
1989-01-30,16.749886,2324.110107
1989-01-31,16.862301,2342.320068
1989-02-01,16.918509,2338.209961
1989-02-02,16.806093,2333.750000
1989-02-03,16.609367,2331.250000
1989-02-06,16.468847,2321.070068
1989-02-07,16.862301,2347.139893
1989-02-08,16.77799,2343.209961
1989-02-09,16.77799,2323.040039
1989-02-10,16.749886,2286.070068
1989-02-13,16.946613,2282.500000
1989-02-14,16.974716,2281.250000
1989-02-15,16.974716,2303.929932
1989-02-16,16.918509,2311.429932
1989-02-17,16.918509,2324.820068
1989-02-21,16.749886,2326.429932
1989-02-22,16.496952,2283.929932
1989-02-23,16.721783,2289.459961
1989-02-24,16.384537,2245.540039
1989-02-27,16.384537,2250.360107
1989-02-28,16.440744,2258.389893
1989-03-01,16.328329,2243.040039
1989-03-02,16.41264,2265.709961
1989-03-03,16.41264,2274.290039
1989-03-06,16.609367,2294.820068
1989-03-07,16.665575,2290.709961
1989-03-08,16.693678,2295.540039
1989-03-09,16.806093,2291.429932
1989-03-10,16.77799,2282.139893
1989-03-13,16.834198,2306.250000
1989-03-14,16.749886,2306.250000
1989-03-15,16.749886,2320.540039
1989-03-16,17.002821,2340.709961
1989-03-17,16.806093,2292.139893
1989-03-20,16.749886,2262.500000
1989-03-21,16.834198,2266.250000
1989-03-22,16.918509,2263.209961
1989-03-23,16.834198,2243.040039
1989-03-27,16.946613,2257.860107
1989-03-28,17.087132,2275.540039
1989-03-29,17.030924,2281.520020
