Date,Open,Close,Volume
1987-05-20,14.164333,13.967607,1132700
1987-05-21,14.080022,13.827087,1330600
1987-05-22,13.939503,14.164333,1146000
1987-05-26,14.445372,14.445372,1419100
1987-05-27,14.557787,14.726410,1088700
1987-05-28,14.726410,14.782618,1019800
1987-05-29,15.119864,15.007448,1692300
1987-06-01,15.063656,15.091760,823100
1987-06-02,15.035552,15.007448,792900
1987-06-03,15.063656,15.232279,1080100
1987-06-04,15.204175,15.232279,696000
1987-06-05,15.232279,15.260383,781300
1987-06-08,15.232279,15.316590,1131400
1987-06-09,15.316590,15.119864,984600
1987-06-10,15.119864,15.204175,1537900
1987-06-11,15.204175,15.260383,1243000
1987-06-12,15.400902,15.513317,1436000
1987-06-15,15.625732,15.710045,1207400
1987-06-16,15.653837,15.934875,1720600
1987-06-17,16.047291,15.822460,680800
1987-06-18,15.738149,15.794356,670600
1987-06-19,15.906772,16.019186,2339800
1987-06-22,16.019186,16.187809,1255400
1987-06-23,16.244017,16.047291,3168400
1987-06-24,15.653837,15.653837,2374500
1987-06-25,15.625732,15.766253,2385200
1987-06-26,15.653837,15.653837,648300
1987-06-29,15.625732,15.653837,1464500
1987-06-30,15.738149,15.316590,578100
1987-07-01,15.232279,15.344694,841800
1987-07-02,15.344694,15.372798,614500
1987-07-06,15.400902,15.288486,1053900
1987-07-07,15.344694,15.400902,1134500
1987-07-08,15.344694,15.232279,958800
1987-07-09,15.232279,15.063656,1738000
1987-07-10,15.007448,15.147967,968600
1987-07-13,15.063656,14.866929,994000
1987-07-14,14.838825,14.979344,597600
1987-07-15,14.866929,14.726410,603000
1987-07-16,14.782618,14.838825,456200
1987-07-17,14.895033,14.979344,1542200
1987-07-20,14.838825,14.895033,1098400
1987-07-21,14.895033,14.726410,1346600
1987-07-22,14.810721,14.642098,748000
1987-07-23,14.698306,14.585891,1339600
1987-07-24,14.670202,14.726410,884900
1987-07-27,14.726410,14.923137,1408500
1987-07-28,15.063656,15.007448,1647300
1987-07-29,15.176071,15.176071,2537800
1987-07-30,15.260383,15.316590,1480100
1987-07-31,15.513317,15.344694,1856400
1987-08-03,15.344694,15.316590,1870600
1987-08-04,15.344694,15.147967,1217600
1987-08-05,15.513317,15.513317,1767300
1987-08-06,15.513317,15.541421,1187800
1987-08-07,15.681941,15.962979,1866200
1987-08-10,15.906772,16.384537,3168000
1987-08-11,16.581263,16.890406,3013600
1987-08-12,16.777990,16.665575,2292200
1987-08-13,16.637470,16.721783,1097100
1987-08-14,16.665575,16.721783,1690900
1987-08-17,16.918509,16.974716,1100600
1987-08-18,16.777990,16.862301,1273200
1987-08-19,16.777990,16.834198,1065500
1987-08-20,16.862301,17.059029,1288800
1987-08-21,17.143339,17.171444,1934700
1987-08-24,17.143339,17.087132,1695400
1987-08-25,17.087132,17.311962,976200
1987-08-26,17.396275,17.255754,716500
1987-08-27,17.171444,16.946613,1065500
1987-08-28,16.834198,16.581263,1537900
1987-08-31,16.637470,16.974716,1360000
1987-09-01,17.059029,16.637470,2232600
1987-09-02,16.637470,16.525055,1174000
1987-09-03,16.609367,16.384537,1154100
1987-09-04,16.412640,16.581263,1501000
1987-09-08,16.300224,16.412640,1675700
1987-09-09,16.468847,16.609367,1747800
1987-09-10,16.749886,16.525055,2019200
1987-09-11,16.637470,16.665575,1408000
1987-09-14,16.806093,16.834198,824900
1987-09-15,16.749886,16.749886,951200
1987-09-16,16.721783,16.777990,1529400
1987-09-17,16.890406,16.890406,966700
1987-09-18,17.087132,16.777990,2278800
1987-09-21,16.834198,16.834198,1288800
1987-09-22,16.946613,17.480587,1361300
1987-09-23,17.480587,17.789728,3007900
1987-09-24,17.311962,17.311962,4892400
1987-09-25,17.255754,17.761625,2493300
1987-09-28,17.705418,17.564898,2162800
1987-09-29,17.508690,17.396275,1398200
1987-09-30,17.424379,17.227652,1364500
1987-10-01,17.340067,17.452482,1475700
1987-10-02,17.424379,17.368170,972600
1987-10-05,17.255754,17.283859,733700
1987-10-06,17.311962,17.255754,1158100
1987-10-07,17.199547,17.115236,903700
1987-10-08,17.115236,17.087132,1238000
1987-10-09,17.143339,17.115236,1517800
1987-10-12,17.115236,17.115236,1807000
1987-10-13,17.311962,17.705418,1041100
1987-10-14,17.593002,17.480587,1722900
1987-10-15,17.199547,17.311962,1743800
1987-10-16,17.340067,16.496952,2189100
1987-10-19,15.063656,13.602257,4951200
1987-10-20,13.602257,15.513317,4317300
1987-10-21,17.311962,16.412640,3780000
1987-10-22,16.412640,16.384537,2904200
1987-10-23,15.962979,16.806093,2996400
1987-10-26,16.637470,16.244017,1483200
1987-10-27,16.300224,16.300224,2777000
1987-10-28,15.850564,15.962979,1883400
1987-10-29,15.850564,16.159706,1540500
1987-10-30,16.412640,16.215914,3231100
1987-11-02,16.019186,16.356432,1513900
1987-11-03,16.187809,16.384537,1564100
1987-11-04,16.131601,16.384537,1368900
1987-11-05,16.356432,16.468847,2149500
1987-11-06,16.525055,16.272121,1637600
1987-11-09,16.075394,15.878668,1043800
1987-11-10,15.625732,15.625732,1199500
1987-11-11,15.681941,15.597629,1160300
1987-11-12,15.962979,15.878668,1149600
1987-11-13,15.822460,15.597629,860100
1987-11-16,15.541421,15.597629,1029100
1987-11-17,15.429006,15.457109,1030300
1987-11-18,15.513317,15.429006,1394300
1987-11-19,15.485213,15.316590,1029100
1987-11-20,15.176071,15.513317,1598400
1987-11-23,15.400902,15.400902,924600
1987-11-24,15.344694,15.485213,798700
1987-11-25,15.569525,15.119864,750100
1987-11-27,15.147967,15.176071,687000
1987-11-30,14.838825,14.726410,2149000
1987-12-01,14.670202,15.007448,1497000
1987-12-02,14.810721,15.007448,868500
1987-12-03,15.007448,14.726410,1469800
1987-12-04,14.613995,14.613995,1349300
1987-12-07,14.613995,14.445372,1305200
1987-12-08,14.501579,14.613995,1830600
1987-12-09,14.557787,14.698306,1175500
1987-12-10,14.445372,14.473475,804000
1987-12-11,14.529683,14.529683,1035300
1987-12-14,14.557787,14.951241,880500
1987-12-15,15.063656,15.204175,1216300
1987-12-16,15.344694,15.597629,1173500
1987-12-17,15.710045,15.316590,1235400
1987-12-18,15.344694,15.710045,2525700
1987-12-21,15.710045,15.681941,997900
1987-12-22,15.681941,15.653837,3478500
1987-12-23,15.738149,15.569525,10594500
1987-12-24,15.063656,14.838825,1386700
1987-12-28,14.670202,14.445372,3382300
1987-12-29,14.445372,14.445372,483300
1987-12-30,14.445372,14.613995,1036600
1987-12-31,14.613995,14.613995,932100
1988-01-04,14.557787,15.232279,1108700
1988-01-05,15.232279,15.372798,1732800
1988-01-06,15.288486,15.063656,831200
1988-01-07,15.007448,15.119864,1021100
1988-01-08,15.091760,14.220541,1354200
1988-01-11,14.276749,14.501579,1255400
1988-01-12,14.445372,14.501579,1764800
1988-01-13,14.557787,15.007448,1125100
1988-01-14,15.063656,14.951241,1087400
1988-01-15,15.372798,15.597629,2111600
1988-01-18,15.541421,15.372798,764000
1988-01-19,15.457109,15.147967,1213600
1988-01-20,15.091760,14.810721,978300
1988-01-21,14.838825,14.866929,713700
1988-01-22,14.838825,15.372798,938300
1988-01-25,15.429006,15.878668,1362700
1988-01-26,15.681941,15.681941,985500
1988-01-27,15.738149,15.766253,1274200
1988-01-28,15.850564,16.047291,1592700
1988-01-29,16.244017,16.356432,1999500
1988-02-01,16.412640,16.328329,2008500
1988-02-02,16.272121,16.244017,776800
1988-02-03,16.272121,16.159706,1924800
1988-02-04,16.159706,16.131601,1302100
1988-02-05,16.159706,16.159706,871600
1988-02-08,16.103498,16.075394,836100
1988-02-09,16.131601,16.187809,485600
1988-02-10,16.103498,16.496952,985000
1988-02-11,16.496952,16.244017,703900
1988-02-12,16.244017,16.384537,795100
1988-02-16,16.356432,16.215914,936900
1988-02-17,16.215914,15.850564,1113200
1988-02-18,15.850564,15.710045,1332400
1988-02-19,15.738149,15.962979,1742100
1988-02-22,15.850564,16.075394,1327100
1988-02-23,16.159706,15.934875,897800
1988-02-24,15.991083,15.934875,752800
1988-02-25,15.962979,15.766253,971300
1988-02-26,15.822460,15.962979,613100
1988-02-29,15.962979,16.244017,1081100
1988-03-01,16.244017,16.159706,1338700
1988-03-02,16.187809,16.187809,1060700
1988-03-03,16.159706,16.103498,880500
1988-03-04,16.047291,15.766253,1441800
1988-03-07,15.738149,15.710045,440600
1988-03-08,15.710045,15.625732,800400
1988-03-09,15.681941,15.485213,1350600
1988-03-10,15.457109,15.176071,1034800
1988-03-11,15.288486,15.457109,901900
1988-03-14,15.400902,15.569525,565600
1988-03-15,15.569525,15.710045,679000
1988-03-16,15.681941,16.019186,1498700
1988-03-17,16.019186,15.991083,1010700
1988-03-18,16.047291,15.962979,2475100
1988-03-21,15.794356,15.794356,556300
1988-03-22,15.794356,15.766253,337400
1988-03-23,15.681941,15.738149,720000
1988-03-24,15.653837,15.597629,1246200
1988-03-25,15.344694,15.091760,2122400
1988-03-28,14.951241,15.007448,2400800
1988-03-29,14.951241,14.979344,947300
1988-03-30,14.838825,14.726410,1232300
1988-03-31,14.613995,14.866929,1627200
1988-04-04,14.810721,14.979344,1360500
1988-04-05,14.951241,15.147967,647500
1988-04-06,15.119864,15.400902,1174600
1988-04-07,15.485213,15.400902,739100
1988-04-08,15.457109,15.513317,924600
1988-04-11,15.457109,15.400902,462500
1988-04-12,15.344694,15.457109,634100
1988-04-13,15.400902,15.513317,674600
1988-04-14,15.316590,14.866929,1147700
1988-04-15,14.810721,14.979344,1305200
1988-04-18,14.838825,14.754514,916000
1988-04-19,14.726410,14.613995,478400
1988-04-20,14.613995,14.529683,720400
1988-04-21,14.529683,14.529683,1037600
1988-04-22,14.585891,14.810721,929500
1988-04-25,14.951241,15.091760,862700
1988-04-26,15.063656,15.176071,770200
1988-04-27,15.119864,15.091760,567400
1988-04-28,15.035552,14.951241,578100
1988-04-29,15.063656,15.147967,1124200
1988-05-02,15.176071,15.176071,1374200
1988-05-03,15.176071,15.176071,356100
1988-05-04,15.204175,14.951241,892900
1988-05-05,14.923137,14.698306,659400
1988-05-06,14.754514,14.613995,637200
1988-05-09,14.670202,14.698306,368100
1988-05-10,14.754514,14.951241,591000
1988-05-11,14.866929,14.754514,546500
1988-05-12,14.754514,14.951241,841800
1988-05-13,15.007448,15.035552,699100
1988-05-16,15.035552,15.147967,364900
1988-05-17,15.232279,14.951241,628400
1988-05-18,14.923137,14.698306,546900
1988-05-19,14.642098,15.035552,711400
1988-05-20,15.035552,15.063656,1472500
1988-05-23,15.119864,15.007448,777300
1988-05-24,15.119864,15.400902,1126400
1988-05-25,15.457109,15.513317,845400
1988-05-26,15.513317,15.569525,652400
1988-05-27,15.513317,15.485213,385900
1988-05-31,15.429006,16.159706,1331900
1988-06-01,16.300224,16.384537,2388300
1988-06-02,16.187809,16.131601,1500600
1988-06-03,16.187809,16.131601,1390200
1988-06-06,16.047291,15.962979,812900
1988-06-07,15.962979,15.962979,651500
1988-06-08,16.047291,16.496952,1420900
1988-06-09,16.440744,16.244017,1230600
1988-06-10,16.272121,16.244017,879200
1988-06-13,16.300224,16.075394,597100
1988-06-14,16.300224,16.468847,1473400
1988-06-15,16.468847,16.412640,782100
1988-06-16,16.356432,16.187809,1005100
1988-06-17,16.244017,16.300224,2737400
1988-06-20,16.215914,16.187809,558100
