Date,WMT,DOW
1987-12-31,3.25,1938.829956
1988-01-04,3.40625,2015.250000
1988-01-05,3.453125,2031.500000
1988-01-06,3.5625,2037.800049
1988-01-07,3.5,2051.889893
1988-01-08,3.140625,1911.310059
1988-01-11,3.234375,1945.130005
1988-01-12,3.234375,1928.550049
1988-01-13,3.296875,1924.729980
1988-01-14,3.296875,1916.109985
1988-01-15,3.484375,1956.069946
1988-01-18,3.390625,1963.859985
1988-01-19,3.3125,1936.339966
1988-01-20,3.1875,1879.140015
1988-01-21,3.234375,1879.310059
1988-01-22,3.25,1903.510010
1988-01-25,3.453125,1946.449951
1988-01-26,3.3125,1920.589966
1988-01-27,3.390625,1911.140015
1988-01-28,3.40625,1930.040039
1988-01-29,3.421875,1958.219971
1988-02-01,3.390625,1944.630005
1988-02-02,3.359375,1952.920044
1988-02-03,3.265625,1924.569946
1988-02-04,3.234375,1923.569946
1988-02-05,3.25,1910.479980
1988-02-08,3.203125,1895.719971
1988-02-09,3.25,1914.459961
1988-02-10,3.296875,1962.040039
1988-02-11,3.25,1961.540039
1988-02-12,3.390625,1983.260010
1988-02-16,3.453125,2005.969971
1988-02-17,3.4375,2000.989990
1988-02-18,3.40625,1986.410034
1988-02-19,3.4375,2014.589966
1988-02-22,3.484375,2040.290039
1988-02-23,3.484375,2039.119995
1988-02-24,3.4375,2039.949951
1988-02-25,3.5,2017.569946
1988-02-26,3.53125,2023.209961
1988-02-29,3.671875,2071.620117
1988-03-01,3.625,2070.469971
1988-03-02,3.671875,2071.290039
1988-03-03,3.75,2063.489990
1988-03-04,3.75,2057.860107
1988-03-07,3.765625,2056.370117
1988-03-08,3.8125,2081.070068
1988-03-09,3.828125,2074.270020
1988-03-10,3.6875,2026.030029
1988-03-11,3.703125,2034.979980
1988-03-14,3.71875,2050.070068
1988-03-15,3.75,2047.410034
1988-03-16,3.75,2064.320068
1988-03-17,3.765625,2086.040039
1988-03-18,3.71875,2087.370117
1988-03-21,3.625,2067.139893
1988-03-22,3.671875,2066.149902
1988-03-23,3.703125,2067.639893
1988-03-24,3.640625,2023.869995
1988-03-25,3.546875,1978.949951
1988-03-28,3.5625,1979.770020
1988-03-29,3.578125,1998.339966
1988-03-30,3.53125,1978.119995
1988-03-31,3.515625,1988.060059
1988-04-04,3.4375,1980.599976
1988-04-05,3.46875,1997.510010
1988-04-06,3.59375,2061.669922
1988-04-07,3.609375,2062.169922
1988-04-08,3.671875,2090.189941
1988-04-11,3.6875,2095.989990
1988-04-12,3.71875,2110.080078
1988-04-13,3.75,2107.100098
1988-04-14,3.5,2005.640015
1988-04-15,3.53125,2013.930054
1988-04-18,3.453125,2008.119995
1988-04-19,3.46875,1999.500000
1988-04-20,3.421875,1985.410034
1988-04-21,3.46875,1987.400024
1988-04-22,3.59375,2015.089966
1988-04-25,3.5625,2035.969971
1988-04-26,3.515625,2044.760010
1988-04-27,3.5,2047.910034
1988-04-28,3.4375,2041.280029
1988-04-29,3.46875,2032.329956
1988-05-02,3.5,2043.270020
1988-05-03,3.484375,2058.360107
1988-05-04,3.421875,2036.310059
1988-05-05,3.375,2020.229980
1988-05-06,3.375,2007.459961
1988-05-09,3.34375,1997.349976
1988-05-10,3.359375,2003.640015
1988-05-11,3.265625,1965.849976
1988-05-12,3.3125,1968.000000
1988-05-13,3.328125,1990.550049
1988-05-16,3.359375,2007.630005
1988-05-17,3.34375,1986.410034
1988-05-18,3.3125,1951.089966
1988-05-19,3.375,1958.719971
1988-05-20,3.4375,1952.589966
1988-05-23,3.375,1941.479980
1988-05-24,3.375,1962.530029
1988-05-25,3.390625,1961.369995
1988-05-26,3.421875,1966.699951
1988-05-27,3.40625,1956.439941
1988-05-31,3.53125,2031.119995
1988-06-01,3.65625,2064.010010
1988-06-02,3.609375,2052.449951
1988-06-03,3.59375,2071.310059
1988-06-06,3.609375,2075.209961
1988-06-07,3.546875,2054.590088
1988-06-08,3.65625,2102.949951
1988-06-09,3.65625,2093.350098
1988-06-10,3.65625,2101.709961
1988-06-13,3.671875,2099.399902
1988-06-14,3.75,2124.469971
1988-06-15,3.71875,2131.399902
1988-06-16,3.609375,2094.239990
1988-06-17,3.6875,2104.020020
1988-06-20,3.6875,2083.929932
1988-06-21,3.671875,2109.169922
1988-06-22,3.734375,2152.199951
1988-06-23,3.6875,2148.290039
1988-06-24,3.71875,2142.959961
1988-06-27,3.578125,2108.459961
1988-06-28,3.703125,2130.870117
1988-06-29,3.71875,2121.979980
1988-06-30,3.828125,2141.709961
1988-07-01,3.78125,2131.580078
1988-07-05,3.96875,2158.610107
1988-07-06,3.96875,2130.159912
1988-07-07,4.09375,2122.689941
1988-07-08,4.015625,2106.149902
1988-07-11,4.015625,2111.310059
1988-07-12,3.984375,2092.639893
1988-07-13,4.015625,2104.370117
1988-07-14,4.125,2113.620117
1988-07-15,4.203125,2129.449951
1988-07-18,4.15625,2117.889893
1988-07-19,4.03125,2097.260010
1988-07-20,4.09375,2110.600098
1988-07-21,4.015625,2086.590088
1988-07-22,3.921875,2060.989990
1988-07-25,3.921875,2071.830078
1988-07-26,4,2073.969971
1988-07-27,3.953125,2053.699951
1988-07-28,3.984375,2082.330078
1988-07-29,4.109375,2128.729980
1988-08-01,4.078125,2130.510010
1988-08-02,4.015625,2131.219971
1988-08-03,3.984375,2134.070068
1988-08-04,3.96875,2126.600098
1988-08-05,4.015625,2119.129883
1988-08-08,4.015625,2107.399902
1988-08-09,3.953125,2079.129883
1988-08-10,3.859375,2034.140015
1988-08-11,3.890625,2039.300049
1988-08-12,3.890625,2037.520020
1988-08-15,3.875,2004.270020
1988-08-16,3.84375,2021.510010
1988-08-17,3.921875,2025.959961
1988-08-18,3.921875,2027.030029
1988-08-19,3.875,2016.000000
1988-08-22,3.78125,1990.219971
1988-08-23,3.71875,1989.329956
1988-08-24,3.8125,2026.670044
1988-08-25,3.78125,2010.849976
1988-08-26,3.796875,2017.430054
1988-08-29,3.828125,2041.430054
1988-08-30,3.84375,2038.229980
1988-08-31,3.75,2031.650024
1988-09-01,3.71875,2002.310059
1988-09-02,3.8125,2054.590088
1988-09-06,3.90625,2065.260010
1988-09-07,3.96875,2065.790039
1988-09-08,3.9375,2063.120117
1988-09-09,3.96875,2068.810059
1988-09-12,3.90625,2072.370117
1988-09-13,3.859375,2083.040039
1988-09-14,3.96875,2100.639893
1988-09-15,3.9375,2092.280029
1988-09-16,4.015625,2098.149902
1988-09-19,3.96875,2081.080078
1988-09-20,3.984375,2087.479980
1988-09-21,4,2090.500000
1988-09-22,4,2080.010010
1988-09-23,4.03125,2090.679932
1988-09-26,3.96875,2085.169922
1988-09-27,3.953125,2082.330078
1988-09-28,3.96875,2085.530029
1988-09-29,4.03125,2119.310059
1988-09-30,4.03125,2112.909912
1988-10-03,4.046875,2105.260010
1988-10-04,4.0625,2102.060059
1988-10-05,4.078125,2106.510010
1988-10-06,4.0625,2107.750000
1988-10-07,4.140625,2150.250000
1988-10-10,4.15625,2158.959961
1988-10-11,4.125,2156.469971
1988-10-12,4.046875,2126.239990
1988-10-13,4.078125,2133.360107
1988-10-14,4.09375,2133.179932
1988-10-17,4.078125,2140.469971
1988-10-18,4.09375,2159.850098
1988-10-19,4.03125,2137.270020
1988-10-20,4.15625,2181.189941
1988-10-21,4.15625,2183.500000
1988-10-24,4.09375,2170.340088
1988-10-25,4.046875,2173.360107
1988-10-26,3.921875,2165.179932
1988-10-27,3.890625,2140.830078
1988-10-28,3.9375,2149.889893
