Date,UNH,DOW
1987-12-30,0.128906,1950.099976
1987-12-31,0.113281,1938.829956
1988-01-04,0.109375,2015.250000
1988-01-05,0.113281,2031.500000
1988-01-06,0.117188,2037.800049
1988-01-07,0.117188,2051.889893
1988-01-08,0.121094,1911.310059
1988-01-11,0.117188,1945.130005
1988-01-12,0.117188,1928.550049
1988-01-13,0.117188,1924.729980
1988-01-14,0.121094,1916.109985
1988-01-15,0.125,1956.069946
1988-01-18,0.125,1963.859985
1988-01-19,0.128906,1936.339966
1988-01-20,0.121094,1879.140015
1988-01-21,0.121094,1879.310059
1988-01-22,0.136719,1903.510010
1988-01-25,0.128906,1946.449951
1988-01-26,0.132813,1920.589966
1988-01-27,0.140625,1911.140015
1988-01-28,0.152344,1930.040039
1988-01-29,0.144531,1958.219971
1988-02-01,0.144531,1944.630005
1988-02-02,0.144531,1952.920044
1988-02-03,0.140625,1924.569946
1988-02-04,0.142578,1923.569946
1988-02-05,0.148438,1910.479980
1988-02-08,0.144531,1895.719971
1988-02-09,0.148438,1914.459961
1988-02-10,0.152344,1962.040039
1988-02-11,0.154297,1961.540039
1988-02-12,0.152344,1983.260010
1988-02-16,0.148438,2005.969971
1988-02-17,0.148438,2000.989990
1988-02-18,0.148438,1986.410034
1988-02-19,0.140625,2014.589966
1988-02-22,0.132813,2040.290039
1988-02-23,0.140625,2039.119995
1988-02-24,0.140625,2039.949951
1988-02-25,0.144531,2017.569946
1988-02-26,0.146484,2023.209961
1988-02-29,0.144531,2071.620117
1988-03-01,0.144531,2070.469971
1988-03-02,0.136719,2071.290039
1988-03-03,0.136719,2063.489990
1988-03-04,0.136719,2057.860107
1988-03-07,0.136719,2056.370117
1988-03-08,0.136719,2081.070068
1988-03-09,0.136719,2074.270020
1988-03-10,0.136719,2026.030029
1988-03-11,0.132813,2034.979980
1988-03-14,0.140625,2050.070068
1988-03-15,0.125,2047.410034
1988-03-16,0.140625,2064.320068
1988-03-17,0.152344,2086.040039
1988-03-18,0.164063,2087.370117
1988-03-21,0.160156,2067.139893
1988-03-22,0.15625,2066.149902
1988-03-23,0.15625,2067.639893
1988-03-24,0.15625,2023.869995
1988-03-25,0.152344,1978.949951
1988-03-28,0.144531,1979.770020
1988-03-29,0.148438,1998.339966
1988-03-30,0.150391,1978.119995
1988-03-31,0.152344,1988.060059
1988-04-04,0.148438,1980.599976
1988-04-05,0.148438,1997.510010
1988-04-06,0.152344,2061.669922
1988-04-07,0.148438,2062.169922
1988-04-08,0.148438,2090.189941
1988-04-11,0.154297,2095.989990
1988-04-12,0.15625,2110.080078
1988-04-13,0.15625,2107.100098
1988-04-14,0.15625,2005.640015
1988-04-15,0.144531,2013.930054
1988-04-18,0.148438,2008.119995
1988-04-19,0.144531,1999.500000
1988-04-20,0.148438,1985.410034
1988-04-21,0.140625,1987.400024
1988-04-22,0.140625,2015.089966
1988-04-25,0.140625,2035.969971
1988-04-26,0.140625,2044.760010
1988-04-27,0.140625,2047.910034
1988-04-28,0.140625,2041.280029
1988-04-29,0.144531,2032.329956
1988-05-02,0.140625,2043.270020
1988-05-03,0.144531,2058.360107
1988-05-04,0.144531,2036.310059
1988-05-05,0.140625,2020.229980
1988-05-06,0.140625,2007.459961
1988-05-09,0.152344,1997.349976
1988-05-10,0.152344,2003.640015
