Date,PG,DOW
1987-12-31,5.335938,1938.829956
1988-01-04,5.4375,2015.250000
1988-01-05,5.40625,2031.500000
1988-01-06,5.390625,2037.800049
1988-01-07,5.460938,2051.889893
1988-01-08,5.140625,1911.310059
1988-01-11,5.1875,1945.130005
1988-01-12,5.21875,1928.550049
1988-01-13,5.328125,1924.729980
1988-01-14,5.3125,1916.109985
1988-01-15,5.28125,1956.069946
1988-01-18,5.382813,1963.859985
1988-01-19,5.320313,1936.339966
1988-01-20,5.226563,1879.140015
1988-01-21,5.179688,1879.310059
1988-01-22,5.203125,1903.510010
1988-01-25,5.335938,1946.449951
1988-01-26,5.296875,1920.589966
1988-01-27,5.265625,1911.140015
1988-01-28,5.28125,1930.040039
1988-01-29,5.304688,1958.219971
1988-02-01,5.28125,1944.630005
1988-02-02,5.242188,1952.920044
1988-02-03,5.125,1924.569946
1988-02-04,5.0625,1923.569946
1988-02-05,5.070313,1910.479980
1988-02-08,5.070313,1895.719971
1988-02-09,5.117188,1914.459961
1988-02-10,5.226563,1962.040039
1988-02-11,5.171875,1961.540039
1988-02-12,5.242188,1983.260010
1988-02-16,5.296875,2005.969971
1988-02-17,5.234375,2000.989990
1988-02-18,5.140625,1986.410034
1988-02-19,5.15625,2014.589966
1988-02-22,5.203125,2040.290039
1988-02-23,5.195313,2039.119995
1988-02-24,5.164063,2039.949951
1988-02-25,5.132813,2017.569946
1988-02-26,5.140625,2023.209961
1988-02-29,5.265625,2071.620117
1988-03-01,5.21875,2070.469971
1988-03-02,5.085938,2071.290039
1988-03-03,5.148438,2063.489990
1988-03-04,5.070313,2057.860107
1988-03-07,5.0625,2056.370117
1988-03-08,5.140625,2081.070068
1988-03-09,5.085938,2074.270020
1988-03-10,4.992188,2026.030029
1988-03-11,4.992188,2034.979980
1988-03-14,5.078125,2050.070068
1988-03-15,5.0625,2047.410034
1988-03-16,5.039063,2064.320068
1988-03-17,5.039063,2086.040039
1988-03-18,5.125,2087.370117
1988-03-21,5.09375,2067.139893
1988-03-22,5.101563,2066.149902
1988-03-23,5.054688,2067.639893
1988-03-24,4.976563,2023.869995
1988-03-25,4.828125,1978.949951
1988-03-28,4.921875,1979.770020
1988-03-29,4.898438,1998.339966
1988-03-30,4.882813,1978.119995
1988-03-31,4.867188,1988.060059
1988-04-04,4.828125,1980.599976
1988-04-05,4.875,1997.510010
1988-04-06,5.046875,2061.669922
1988-04-07,4.992188,2062.169922
1988-04-08,5.09375,2090.189941
1988-04-11,5.132813,2095.989990
1988-04-12,5.210938,2110.080078
1988-04-13,5.171875,2107.100098
1988-04-14,4.867188,2005.640015
1988-04-15,4.929688,2013.930054
1988-04-18,4.867188,2008.119995
1988-04-19,4.820313,1999.500000
1988-04-20,4.765625,1985.410034
1988-04-21,4.71875,1987.400024
1988-04-22,4.820313,2015.089966
1988-04-25,4.898438,2035.969971
1988-04-26,4.921875,2044.760010
1988-04-27,4.882813,2047.910034
1988-04-28,4.890625,2041.280029
1988-04-29,4.820313,2032.329956
1988-05-02,4.78125,2043.270020
1988-05-03,4.859375,2058.360107
1988-05-04,4.75,2036.310059
1988-05-05,4.710938,2020.229980
1988-05-06,4.671875,2007.459961
1988-05-09,4.640625,1997.349976
1988-05-10,4.65625,2003.640015
1988-05-11,4.554688,1965.849976
1988-05-12,4.554688,1968.000000
1988-05-13,4.625,1990.550049
1988-05-16,4.671875,2007.630005
1988-05-17,4.601563,1986.410034
1988-05-18,4.484375,1951.089966
1988-05-19,4.523438,1958.719971
1988-05-20,4.5,1952.589966
1988-05-23,4.53125,1941.479980
1988-05-24,4.585938,1962.530029
1988-05-25,4.609375,1961.369995
1988-05-26,4.570313,1966.699951
1988-05-27,4.5625,1956.439941
1988-05-31,4.773438,2031.119995
1988-06-01,4.859375,2064.010010
1988-06-02,4.828125,2052.449951
1988-06-03,4.835938,2071.310059
1988-06-06,4.820313,2075.209961
1988-06-07,4.765625,2054.590088
1988-06-08,4.867188,2102.949951
1988-06-09,4.859375,2093.350098
1988-06-10,4.84375,2101.709961
1988-06-13,4.882813,2099.399902
1988-06-14,4.914063,2124.469971
1988-06-15,4.898438,2131.399902
1988-06-16,4.78125,2094.239990
1988-06-17,4.828125,2104.020020
1988-06-20,4.804688,2083.929932
1988-06-21,4.796875,2109.169922
1988-06-22,4.867188,2152.199951
1988-06-23,4.851563,2148.290039
1988-06-24,4.859375,2142.959961
1988-06-27,4.773438,2108.459961
1988-06-28,4.773438,2130.870117
1988-06-29,4.765625,2121.979980
1988-06-30,4.84375,2141.709961
1988-07-01,4.8125,2131.580078
1988-07-05,4.882813,2158.610107
1988-07-06,4.796875,2130.159912
1988-07-07,4.78125,2122.689941
1988-07-08,4.703125,2106.149902
1988-07-11,4.71875,2111.310059
1988-07-12,4.65625,2092.639893
1988-07-13,4.625,2104.370117
1988-07-14,4.648438,2113.620117
1988-07-15,4.6875,2129.449951
1988-07-18,4.640625,2117.889893
1988-07-19,4.59375,2097.260010
1988-07-20,4.625,2110.600098
1988-07-21,4.601563,2086.590088
1988-07-22,4.585938,2060.989990
1988-07-25,4.578125,2071.830078
1988-07-26,4.585938,2073.969971
1988-07-27,4.484375,2053.699951
1988-07-28,4.578125,2082.330078
1988-07-29,4.695313,2128.729980
1988-08-01,4.6875,2130.510010
1988-08-02,4.726563,2131.219971
1988-08-03,4.710938,2134.070068
1988-08-04,4.71875,2126.600098
1988-08-05,4.703125,2119.129883
1988-08-08,4.671875,2107.399902
1988-08-09,4.601563,2079.129883
1988-08-10,4.53125,2034.140015
1988-08-11,4.554688,2039.300049
1988-08-12,4.515625,2037.520020
1988-08-15,4.507813,2004.270020
1988-08-16,4.53125,2021.510010
1988-08-17,4.539063,2025.959961
