Date,WBA,DOW
2011-11-28,9040800,204950000
2011-11-29,8668900,156950000
2011-11-30,11366100,286790000
2011-12-01,7140600,143700000
2011-12-02,13531900,150110000
2011-12-05,9770300,153830000
2011-12-06,7862300,145920000
2011-12-07,8719100,168440000
2011-12-08,10074400,165880000
2011-12-09,4992300,154250000
2011-12-12,7284500,149050000
2011-12-13,6021600,171910000
2011-12-14,6383400,161240000
2011-12-15,6535800,136930000
2011-12-16,11776900,389520000
2011-12-19,12955000,135170000
2011-12-20,14135500,165180000
2011-12-21,21413800,163250000
2011-12-22,8151000,151610000
2011-12-23,8612300,80420000
2011-12-27,12187000,95980000
2011-12-28,5596500,84010000
2011-12-29,4809100,8410000
2011-12-30,4870000,96670000
2012-01-03,7248100,152560000
2012-01-04,8165300,145130000
2012-01-05,9351200,158440000
2012-01-06,8825400,131120000
2012-01-09,7636500,122200000
2012-01-10,10254900,141230000
2012-01-11,6538700,130260000
2012-01-12,7955200,128230000
2012-01-13,6907200,161470000
2012-01-17,6342000,148670000
2012-01-18,5444800,154170000
2012-01-19,7254100,148030000
2012-01-20,9156300,255110000
2012-01-23,6109900,149860000
2012-01-24,8817700,125420000
2012-01-25,10498400,135430000
2012-01-26,10643800,130840000
2012-01-27,5403900,164410000
2012-01-30,7464000,130430000
2012-01-31,13599200,168070000
2012-02-01,12924500,143500000
2012-02-02,10113400,114360000
2012-02-03,13180600,142840000
2012-02-06,19906700,108040000
2012-02-07,13065100,116150000
2012-02-08,9285900,138250000
2012-02-09,13510300,157080000
2012-02-10,11761400,123620000
2012-02-13,10034500,112240000
2012-02-14,14050800,120050000
2012-02-15,12413600,127560000
2012-02-16,7687900,134450000
2012-02-17,7587800,234650000
2012-02-21,5767100,164780000
2012-02-22,7052600,124200000
2012-02-23,7226800,120480000
2012-02-24,5974000,89440000
2012-02-27,7854200,143530000
2012-02-28,7162700,114490000
2012-02-29,10686200,182460000
2012-03-01,13422600,139670000
2012-03-02,8622000,93900000
2012-03-05,8983500,108630000
2012-03-06,7678500,142330000
2012-03-07,6934700,175110000
2012-03-08,6044800,103530000
2012-03-09,9759300,103240000
2012-03-12,6590100,100000000
2012-03-13,7700500,163130000
2012-03-14,6521700,163610000
2012-03-15,6133800,161650000
2012-03-16,15455700,392620000
2012-03-19,6269000,147120000
2012-03-20,5135500,131660000
2012-03-21,6108500,124860000
2012-03-22,5656000,122060000
2012-03-23,6630600,129930000
2012-03-26,9993300,122080000
2012-03-27,12943400,129280000
2012-03-28,13627200,141540000
2012-03-29,9331100,136250000
2012-03-30,11758400,171190000
2012-04-02,12633200,108790000
2012-04-03,9350800,123980000
2012-04-04,8872600,125000000
2012-04-05,10495000,109530000
2012-04-09,6560500,105580000
2012-04-10,7277300,159290000
2012-04-11,10572800,125210000
2012-04-12,7012800,119780000
2012-04-13,6996600,140990000
2012-04-16,5515600,120990000
2012-04-17,19573100,115320000
2012-04-18,16564300,113520000
2012-04-19,9288700,139810000
2012-04-20,9579000,212080000
2012-04-23,5834900,139370000
2012-04-24,6397000,134110000
2012-04-25,6750400,135260000
2012-04-26,4764200,107570000
2012-04-27,4944600,110850000
2012-04-30,9116300,127870000
2012-05-01,9126400,123400000
2012-05-02,10721900,100770000
2012-05-03,7561000,102090000
2012-05-04,5086900,113790000
2012-05-07,6302000,110080000
2012-05-08,9139400,138620000
2012-05-09,6982200,147460000
2012-05-10,5307200,151650000
2012-05-11,7557700,148370000
2012-05-14,5845600,143190000
2012-05-15,4991900,156060000
2012-05-16,7097300,143130000
2012-05-17,7747100,147430000
2012-05-18,8852100,240720000
2012-05-21,6983100,142110000
2012-05-22,5909400,133650000
2012-05-23,5300000,152190000
2012-05-24,5119100,126810000
2012-05-25,3155300,93000000
2012-05-29,4359600,107510000
2012-05-30,6341100,122830000
2012-05-31,7496200,205140000
2012-06-01,8062200,162940000
2012-06-04,8056900,126440000
2012-06-05,6901800,108970000
2012-06-06,5502800,140110000
2012-06-07,7686600,131150000
2012-06-08,4659600,111810000
2012-06-11,5523800,121060000
2012-06-12,5049500,111360000
2012-06-13,4361500,125780000
2012-06-14,5850400,128640000
2012-06-15,6236900,284290000
2012-06-18,6011500,111280000
2012-06-19,42165200,125180000
2012-06-20,32955500,119110000
2012-06-21,19444900,146750000
2012-06-22,27778600,209990000
2012-06-25,12221500,134090000
2012-06-26,7439000,109270000
2012-06-27,6661200,97950000
2012-06-28,11591300,125870000
2012-06-29,10035400,191630000
2012-07-02,8855400,109640000
2012-07-03,3943400,63850000
2012-07-05,9739500,97800000
2012-07-06,7801000,96760000
2012-07-09,5782700,100150000
2012-07-10,8705000,114760000
2012-07-11,9287800,128420000
2012-07-12,9469200,142760000
2012-07-13,6761000,121080000
2012-07-16,5127600,93500000
2012-07-17,6600100,119620000
2012-07-18,8395100,130070000
2012-07-19,56225400,139480000
2012-07-20,16941600,210770000
2012-07-23,12241100,137760000
2012-07-24,16297900,131530000
2012-07-25,14505700,127320000
2012-07-26,10021700,133620000
2012-07-27,11304900,161510000
2012-07-30,9134100,91730000
2012-07-31,9111300,125980000
2012-08-01,12178800,132780000
2012-08-02,9577200,112770000
2012-08-03,12213000,112390000
2012-08-06,6545200,84270000
2012-08-07,8321400,95240000
2012-08-08,5981700,84910000
2012-08-09,4419500,84350000
2012-08-10,3870500,86640000
2012-08-13,3767000,67550000
2012-08-14,5162500,84430000
2012-08-15,5413700,77130000
2012-08-16,6380400,114580000
2012-08-17,6665900,138550000
2012-08-20,3867900,87590000
2012-08-21,5779800,117060000
2012-08-22,5737600,111220000
2012-08-23,4405200,108800000
2012-08-24,3475400,88030000
2012-08-27,3579400,96070000
2012-08-28,5678900,81630000
2012-08-29,5002200,91530000
2012-08-30,5162700,89980000
2012-08-31,6063400,119780000
2012-09-04,5027500,103920000
2012-09-05,9373800,92550000
2012-09-06,13748000,128650000
2012-09-07,9273100,142210000
2012-09-10,4373200,123810000
2012-09-11,4000500,104920000
2012-09-12,3969600,111520000
2012-09-13,5766600,151770000
2012-09-14,7629800,185160000
2012-09-17,6599700,128020000
2012-09-18,5818200,120720000
2012-09-19,7142800,116210000
2012-09-20,6450900,117910000
2012-09-21,8011500,429610000
2012-09-24,7073200,120370000
2012-09-25,9394000,138630000
2012-09-26,5966600,124350000
2012-09-27,8400900,113990000
2012-09-28,11185400,146950000
2012-10-01,8782500,106120000
2012-10-02,5779800,90730000
2012-10-03,10526900,103890000
2012-10-04,6591300,106390000
2012-10-05,7460100,115500000
2012-10-08,5111400,71300000
2012-10-09,4273100,103630000
2012-10-10,5886400,101120000
2012-10-11,7444100,86630000
2012-10-12,6295100,113740000
2012-10-15,4810500,114880000
2012-10-16,4463800,113450000
2012-10-17,8356200,135570000
2012-10-18,7150300,128410000
2012-10-19,7261000,239080000
2012-10-22,7747200,121880000
2012-10-23,5668800,122220000
2012-10-24,5668400,110670000
2012-10-25,3974000,114590000
2012-10-26,4444200,134640000
2012-10-31,5029900,138160000
2012-11-01,5336300,140510000
2012-11-02,8843500,137660000
2012-11-05,10376500,95350000
2012-11-06,11931000,105710000
2012-11-07,8344400,164250000
2012-11-08,5738900,138350000
2012-11-09,5495200,131670000
2012-11-12,4174700,62360000
2012-11-13,5025300,142200000
2012-11-14,7007700,162180000
2012-11-15,6172100,129150000
2012-11-16,5185100,197110000
2012-11-19,5770600,136910000
2012-11-20,3682600,134160000
2012-11-21,4256800,97300000
2012-11-23,1903300,61110000
2012-11-26,4600900,114360000
2012-11-27,4598600,117900000
2012-11-28,5630400,131000000
2012-11-29,4867800,113620000
2012-11-30,6887100,171070000
2012-12-03,6427900,112900000
2012-12-04,7172000,125290000
2012-12-05,11230700,161230000
2012-12-06,6952000,116850000
2012-12-07,6025000,124130000
2012-12-10,6188800,118530000
2012-12-11,8017400,124510000
2012-12-12,7890900,127510000
2012-12-13,8184000,101190000
2012-12-14,5821200,117620000
2012-12-17,7247700,142980000
2012-12-18,8082900,152920000
2012-12-19,9257800,149020000
2012-12-20,7907500,119800000
2012-12-21,15309600,413270000
2012-12-24,2382700,47710000
2012-12-26,6414200,79410000
2012-12-27,5608500,100160000
2012-12-28,5863400,85980000
2012-12-31,6439300,145740000
2013-01-02,10064100,161430000
2013-01-03,7142300,129630000
2013-01-04,8324800,107590000
2013-01-07,10896500,113120000
2013-01-08,6952300,129570000
2013-01-09,8713700,123070000
2013-01-10,6560000,133520000
2013-01-11,8500900,119200000
2013-01-14,4124600,118460000
2013-01-15,4709800,102280000
2013-01-16,7317900,118540000
2013-01-17,5046800,183900000
2013-01-18,5470700,260900000
2013-01-22,5079900,144300000
2013-01-23,4604200,104490000
2013-01-24,4506700,124780000
2013-01-25,5345700,130300000
2013-01-28,7509900,113570000
2013-01-29,7371200,108230000
2013-01-30,9488300,117200000
2013-01-31,7298900,142600000
2013-02-01,5422800,128420000
2013-02-04,5144700,130420000
2013-02-05,7892400,134390000
2013-02-06,8105000,127560000
2013-02-07,6356900,118530000
2013-02-08,4127600,99860000
2013-02-11,6863300,75090000
2013-02-12,4799300,117180000
2013-02-13,6288700,130520000
2013-02-14,9037400,114800000
2013-02-15,7522500,195670000
2013-02-19,6687000,136410000
2013-02-20,4641100,138540000
2013-02-21,4549400,131410000
2013-02-22,4309700,139850000
2013-02-25,5131500,152190000
2013-02-26,4612200,132580000
2013-02-27,3297700,107010000
2013-02-28,6910600,177150000
2013-03-01,5195300,125920000
2013-03-04,4534500,110810000
2013-03-05,12870100,112100000
2013-03-06,7797400,116510000
2013-03-07,5752400,117080000
2013-03-08,5582300,115630000
2013-03-11,4687000,94880000
2013-03-12,4970000,102100000
2013-03-13,11756100,83920000
2013-03-14,5349200,117390000
2013-03-15,5242100,407770000
2013-03-18,2767600,119640000
2013-03-19,23809500,122170000
2013-03-20,15550100,121240000
2013-03-21,6611400,110450000
2013-03-22,5354500,101450000
2013-03-25,8230700,124840000
2013-03-26,8846300,96030000
2013-03-27,4403800,92680000
2013-03-28,6147700,153710000
2013-04-01,5012900,91400000
2013-04-02,6173400,98420000
2013-04-03,7343100,127140000
2013-04-04,4624700,104790000
2013-04-05,4776200,131250000
2013-04-08,3848200,106680000
2013-04-09,6128000,128580000
2013-04-10,5196500,120520000
2013-04-11,5733100,144570000
2013-04-12,4794100,119570000
2013-04-15,6876800,161680000
2013-04-16,5629600,126320000
2013-04-17,4827000,168010000
